hotel_name,location,price,room_type,beds,rating,rating_title,number_of_ratings,per_night
فندق كراون نجران,Najran ,199,Family Room with Private Bathroom,1,6.5,Review score,56,1
Retaj Al Bayt Suites,Makkah ,315,Standard Twin Room,2,7.7,Good,3361,1
قولدن سكوير طريق الرياض Golden Square Riyadh Road,Khamis Mushayt  ,280,One-Bedroom Apartment,2,9.0,Superb,755,1
Al Ghufran Safwah Hotel Makkah,Makkah ,309,Superior Double Room,2,8.8,Fabulous,7301,1
Aloft Dhahran Hotel,Al Khobar,375,"Aloft Room, 1 King",1,8.2,Very good,4935,1
Ewaa Express Hotel - Al Rawda,Jeddah,259,Standard King Room,1,8.4,Very good,382,1
Zaha Al Munawara Hotel,Madinah,141,Standard King Room,1,8.1,Very good,3474,1
Manazil Al Dhayf,Jeddah,200,Twin Room,2,8.2,Very good,910,1
Province Al Sham Hotel,Madinah,150,Twin Room,2,7.3,Good,2651,1
FLAMINGO Boutique Hotel,Jeddah,252,Junior Suite,2,8.3,Very good,449,1
Nadra Furnished Apartments,Taif  ,280,Two-Bedroom Apartment,3,6.8,Review score,268,1
الاماكن,Al Ula  ,700,Holiday Home,13,0.0,,0,1
فندق انتور جازان Intour Hotel,Jazan  ,342,Deluxe King Room,1,7.6,Good,195,1
فندق دانة التاج DANA ALTAJ HOTEL,Makkah,157,Economy Twin Room,2,6.2,Review score,737,1
فندق الرياض ان - riyadh inn hotel,Riyadh  ,270,Economy Double Room,1,7.8,Good,303,1
استراحة روح ابحر,Obhor  ,720,Two-Bedroom Chalet,4,6.8,Review score,5,1
Rafa - Al Nuzhah,Riyadh  ,430,Superior Double Room,1,8.1,Very good,1222,1
Pullman ZamZam Makkah,Makkah ,330,Superior Twin Room with Partial Haram View,2,7.2,Good,23493,1
Samaya Royal Afif,Afīf ,170,Superior Apartment,2,8.3,Very good,253,1
RAK Hotel-Aparts,Jeddah ,218,Premiere Double Room,1,7.4,Good,1361,1
Al Muhaidb Al Hada Resort,Taif ,236,Economy Double Room,1,7.8,Good,802,1
القصر للأجنحة الفندقية 9 البديع,Abha,565,Junior Suite,2,9.4,Superb,20,1
Dana Hotel & Residences 2,Riyadh,270,One-Bedroom Suite,2,9.2,Superb,345,1
Hotel Ritaj Alsahel,Yanbu,200,Deluxe Room,1,7.9,Good,849,1
سكن وسط الطبيعة,Jeddah ,372,One-Bedroom House,2,9.7,Exceptional,6,1
Diamond Elite Hotel,Jazan,225,Twin Room,2,8.2,Very good,1272,1
Ewaa Express Hotel - Gaber,Riyadh,375,Suite,1,8.9,Fabulous,562,1
ساير للشقق الفندقية,Khamis Mushayt,90,Twin Room with Shared Toilet,2,6.0,Review score,4,1
فندق صفوة اجياد,Makkah,100,Twin Room with Private Bathroom,2,6.9,Review score,34,1
Mirage Hotel Jeddah,Jeddah,239,Deluxe Twin Room,2,9.0,Superb,1759,1
فندق وسام التاج,Makkah ,131,Economy Triple Room,3,6.0,Review score,606,1
Rest Night Hotel Suites- AL Falah,Riyadh,230,Double Room,1,6.9,Review score,1716,1
OYO 273 Star Yanbu Hotel Suites,Yanbu,140,Standard Studio,1,6.6,Review score,208,1
Violet Al Azizia Hotel,Makkah,161,King Room,1,8.5,Very good,7107,1
Aber Hotel - AlYasmin,Riyadh,465,Deluxe Twin Room,2,8.4,Very good,1433,1
البحر للوحدات السكنية,Yanbu,170,Standard Double Room,1,6.8,Review score,197,1
Swiss Blue Al Samer,Jeddah,220,Studio,1,8.1,Very good,589,1
Semat ApartHotel,Jeddah ,300,One-Bedroom Apartment,1,8.3,Very good,458,1
EVA Hotel,Jeddah  ,360,Deluxe Queen Room,1,8.2,Very good,402,1
Marina Arar Furnished Apartments,Arar  ,153,Deluxe Double or Twin Room,1,8.9,Fabulous,771,1
OYO 176 Hotel Safari Al Hada,Taif,108,Standard Studio,1,6.1,Review score,2280,1
Madina Palace Hotel,Jeddah,207,Standard Double Room,2,6.0,Review score,330,1
روضة الملبي للوحدات السكنية,Madinah,120,Double Room,2,6.5,Review score,6,1
"Radisson Blu Hotel, Buraidah",Buraydah  ,444,Standard Room,1,8.3,Very good,1826,1
Al Kenana Hotel,Makkah ,69,Double Room with Private Bathroom,2,7.2,Good,167,1
شاليه جُمان سبرينجز للعائلات,King Abdullah Economic City,590,One-Bedroom Chalet,5,9.5,Exceptional,6,1
فندق جمانه,Yanbu  ,270,Standard Twin Room,2,8.0,Very good,1204,1
Al Hayaah Bayta,Tabuk  ,201,Studio Apartment,2,6.5,Review score,475,1
Ibis Yanbu,Yanbu  ,330,Double Room,1,7.9,Good,1134,1
شقه كبيره,Obhor ,480,Two-Bedroom Apartment,3,0.0,,0,1
Batoul Ajyad Hotel,Makkah,111,Quadruple Room,4,7.5,Good,2362,1
نظرة للشقق الفندقية,Raʼs Munaysif,449,One-Bedroom Apartment,2,8.0,Very good,11,1
Rwnza Hotel Apartments,Tabuk  ,200,One-Bedroom Apartment,5,5.4,Review score,63,1
Seher Aloyon Funished Apartments,Buraydah  ,250,Two-Bedroom Apartment,6,8.1,Very good,599,1
Dari Hotel Families Only,Jeddah  ,266,Studio,1,8.9,Fabulous,238,1
Durra Taraf 1 Residential,Dammam  ,350,One-Bedroom Apartment,1,7.2,Good,1368,1
استراحات و شاليهات البرج,Al Baha,896,Two-Bedroom Apartment,9,7.4,Good,5,1
هيفن بلازا,Riyadh ,230,Standard Room,1,6.4,Review score,3446,1
Iwan Alandalusia Al Ajaweed,Jeddah,230,Standard Double Room,1,7.8,Good,444,1
Taj Al Worood Hotel,Jeddah ,240,King Room,1,8.4,Very good,2228,1
Taj Al Arous Furnished Units,Jeddah,90,غرفة نوم اقتصادية للعزاب مع حمام خارجي,2,6.5,Review score,73,1
شالية الياقوت الأبيض,Makkah,280,Two-Bedroom Chalet,10,0.0,,0,1
Reef residence,Qaryah al Ulya,238,Two-Bedroom Apartment,6,0.0,,0,1
Al Tamayoz Furnished Units,Madinah,72,Double or Twin Room,1,5.4,Review score,360,1
Arjaan Altakhassusi Hotel Suites,Riyadh  ,379,Superior Twin Apartment,2,8.6,Fabulous,1630,1
"Radisson Blu Hotel, Dhahran",Al Khobar,284,Standard Room,1,7.5,Good,1779,1
ساير للشقق الفندقية,Khamis Mushayt  ,90,Twin Room with Shared Toilet,2,6.0,Review score,4,1
فندق صفوة اجياد,Makkah  ,100,Twin Room with Private Bathroom,2,6.9,Review score,34,1
Mirage Hotel Jeddah,Jeddah ,239,Deluxe Twin Room,2,9.0,Superb,1759,1
OYO 273 Star Yanbu Hotel Suites,Yanbu ,140,Standard Studio,1,6.6,Review score,208,1
Aber Hotel - AlYasmin,Riyadh  ,465,Deluxe Twin Room,2,8.4,Very good,1433,1
البحر للوحدات السكنية,Yanbu  ,170,Standard Double Room,1,6.8,Review score,197,1
Swiss Blue Al Samer,Jeddah  ,220,Studio,1,8.1,Very good,589,1
Madina Palace Hotel,Jeddah  ,207,Standard Double Room,2,6.0,Review score,330,1
SAS Hotel,Al Jubail  ,299,Economic Room,1,7.2,Good,1134,1
Mera Houses Aparthotel,Baljurashi  ,200,Double Room,1,8.0,Very good,1782,1
Al Qimah Apartments,Dammam  ,75,Standard Double Room with Shared Bathroom,2,5.0,Review score,362,1
Dorar Rabigh Hotel Apartments,Rabigh  ,143,One-Bedroom Apartment,1,6.1,Review score,172,1
Dar Al Maamon Furnished Apartment,Jeddah ,275,Apartment,3,8.1,Very good,365,1
الزمردة للوحدات السكنية,Ash Shuqayq  ,296,Two-Bedroom Apartment,3,8.3,Very good,65,1
Amyal Alras,Al Rass  ,212,One-Bedroom Apartment,1,8.4,Very good,84,1
Lilas Taif,Taif  ,125,Studio Apartment,1,7.1,Good,433,1
الحمدانية الراقي للشقق المفروشة,Jeddah  ,95,One-Bedroom Apartment,2,6.0,Review score,463,1
Burj Marweat Alkhalil,Makkah  ,75,Budget Double Room,2,6.9,Review score,657,1
New Suite 3,Riyadh  ,215,One-Bedroom Apartment,1,7.9,Good,54,1
TULAY PARK,Al Khobar,195,King Room,1,6.8,Review score,462,1
Almakan Suites 101,Riyadh  ,171,Studio,1,5.4,Review score,880,1
أبها إيليت للوحدات الفندقية,Abha  ,204,Deluxe King Studio,1,6.7,Review score,124,1
Mora Hotel,Jeddah,250,Double or Twin Room,2,7.9,Good,916,1
Karam Taibah Almasi,Madinah,127,Standard Triple Room,3,5.9,Review score,132,1
"شاليهات الرحاب 1, 2",Ash Shiqqah  ,550,Two-Bedroom Chalet,6,8.7,Fabulous,7,1
Al Anoud & Aljawhara Apartments,Hafr Al Baten  ,250,Two-Bedroom Apartment,5,7.0,Good,80,1
Jewar Al Saqefah Hotel,Madinah,200,Double Room,2,7.6,Good,2428,1
Masar Najd,Unayzah  ,200,One-Bedroom Apartment,1,7.8,Good,427,1
دانة القادسية للوحدات السكنية المفروشة,Riyadh  ,170,Studio,1,7.8,Good,209,1
خليجية,Abha  ,75,Deluxe King Room,1,4.2,Review score,95,1
العييري للوحدات المفروشة النعيرية 2,Al Nairyah,90,Double Room with Private Bathroom,3,0.0,,0,1
Shomookh Hotel,Madinah,111,Twin Room,2,7.5,Good,2100,1
Hoor Park - حور بارك,Jeddah ,279,King Room,1,7.7,Good,129,1
البرجس للأجنحة الفندقية,Al Jubail  ,230,Studio,2,6.4,Review score,193,1
جازلي للأجنحة الفندقية,Jeddah  ,157,One-Bedroom Apartment,1,7.4,Good,769,1
العييري للوحدات المفروشة النعيرية 2,Al Nairyah  ,90,Double Room with Private Bathroom,3,0.0,,0,1
Hoor Park - حور بارك,Jeddah ,279,Standard Double Room,2,7.7,Good,129,1
Roof Hotel Apartments,Riyadh  ,400,Superior King Room,1,8.1,Very good,356,1
"Makkah Clock Royal Tower, A Fairmont Hotel",Makkah  ,450,Fairmont King with City View,1,8.3,Very good,19474,1
Al Muhaidb Al Narges,Riyadh ,250,Studio,1,7.2,Good,946,1
التميز,An Nikāshah  ,162,One-Bedroom Apartment,1,0.0,,0,1
Auris Al Fanar ApartHotel,Riyadh,245,One-Bedroom Apartment,1,7.6,Good,548,1
Al Eairy Apartments- Dammam 8,Dammam  ,350,One-Bedroom Apartment,1,5.9,Review score,222,1
Swiss International Resort Unaizah Al Qassim,Unayzah  ,998,One Bedroom Villa with Indoor Pool,1,8.5,Very good,871,1
Oasis Najran Hotel,Najran  ,245,Budget Double Room,1,8.6,Fabulous,869,1
Fadet Talla Residentials,Buraydah  ,128,Studio Apartment,1,7.1,Good,462,1
Palms Lily Hotel Suites,Al Ahsa  ,140,Studio,1,6.2,Review score,1548,1
Al Hamra Palace By Warwick,Riyadh  ,370,Deluxe Room,1,7.2,Good,1233,1
Almakan Almosafer Hotel 106,Riyadh  ,153,One-Bedroom Apartment,1,5.7,Review score,1057,1
Tulip Jazan,Jazan  ,130,Double Room,1,6.4,Review score,465,1
جولدن روز Golden Rose,Jazan  ,324,Deluxe King Studio,2,8.5,Very good,99,1
Manarat Al Misk Hotel,Makkah ,100,Basic Triple Room,3,6.9,Review score,517,1
Madeira Hotel Suites,Al Khobar  ,349,One-Bedroom Suite,1,8.1,Very good,333,1
منازل جدة للوحدات السكنية,Jeddah  ,203,Two-Bedroom Apartment,4,7.4,Good,670,1
Afraa Hotel,Makkah  ,151,Triple Room,3,8.0,Very good,2183,1
Holiday Villa Resort Yanbu,Yanbu  ,943,Deluxe Suite with Sea View,3,7.6,Good,457,1
Grand Plaza Hotel-KAFD Riyadh,Riyadh  ,418,Standard Double Room,1,8.1,Very good,472,1
Qasr Al Hamra ApartHotel Al Hamra Branch,Jeddah  ,144,Deluxe Studio,1,7.1,Good,298,1
نزل خيال للوحدات السكنية,Abha  ,167,One-Bedroom Apartment,2,7.0,Good,174,1
"Makkah Clock Royal Tower, A Fairmont Hotel",Makkah,450,Fairmont King with City View,1,8.3,Very good,19474,1
Al Muhaidb Al Narges,Riyadh  ,250,Studio,1,7.2,Good,946,1
التميز,Riyadh,162,One-Bedroom Apartment,1,0.0,,0,1
Palms Lily Hotel Suites,Al Ahsa ,140,Studio,1,6.2,Review score,1548,1
Manarat Al Misk Hotel,Makkah,100,Basic Triple Room,3,6.9,Review score,517,1
Holiday Villa Resort Yanbu,Yanbu ,943,Deluxe Suite with Sea View,3,7.6,Good,457,1
شقة مفروشة حي الشروق مدينة الملك عبدالله الاقتصادية,King Abdullah Economic City  ,320,Two-Bedroom Apartment,3,7.5,Good,4,1
نزل خيال للوحدات السكنية,Abha S,167,One-Bedroom Apartment,2,7.0,Good,174,1
هتان السودة,Abha,249,Two-Bedroom Villa,3,8.2,Very good,5,1
Al Aqeeq Madinah Hotel,Madinah,285,"Classic Room King bed, City View",1,7.8,Good,6466,1
اطلالة الشرفة3 -Terrace view Residence,Dammam  ,186,One-Bedroom Apartment,1,8.0,Very good,639,1
Karam Al Hejaz,Madinah,105,Deluxe Double Room,2,5.9,Review score,198,1
OYO 586 Al Tamayoz Al Raqi Hira,Jeddah,154,One-Bedroom Apartment,1,7.7,Good,35,1
Masat Darkom 2 Furnished Apartments,Buraydah ,200,Studio,1,7.5,Good,258,1
Loaloat Al Khobar,Al Khobar  ,189,Deluxe Studio,1,7.2,Good,468,1
Dar Hashim Hotel Apartments - Al Morouj,Riyadh  ,380,One-Bedroom Apartment,1,8.9,Fabulous,2320,1
العييري للوحدات السكنية المفروشة الباحة 2,Al Baha  ,90,One-Bedroom Apartment,2,3.6,Review score,294,1
Mira Waterfront Hotel Jeddah,Jeddah  ,285,Superior King Room with City View,1,6.4,Review score,5769,1
Taleen AlQuds 2 hotel apartments,Riyadh  ,160,One-Bedroom Apartment,1,5.8,Review score,119,1
Alfarhan Panda Alfayha,Riyadh  ,288,Budget Double Room,1,8.0,Very good,943,1
Dana Hotel & Residences,Riyadh  ,350,Deluxe Double Room,1,8.8,Fabulous,716,1
Emerald Hotel,Jeddah  ,325,Deluxe King Room,1,8.5,Very good,1047,1
فندق ديار السلام,Madinah,117,Double Room,2,7.2,Good,583,1
فندق رحيق المدينه,Al Madinah  ,90,Budget Double Room,2,5.1,Review score,87,1
Signature Al Khobar Hotel,Al Khobar  ,332,Standard  Room,1,7.1,Good,1499,1
"KAEC, Bay La Sun, Marina 2, Studio with Garden Patio",King Abdullah Economic City  ,570,Family Studio,2,8.8,Fabulous,77,1
Park Jizan Hotel,Jazan  ,300,Deluxe Room (2 Adults + 1 Child),1,7.8,Good,810,1
Afaq Jeddah 3,Jeddah  ,160,Budget Double Room,1,7.2,Good,9,1
فندق أعيان الششة,Makkah  ,61,Double Room with Private Bathroom,2,6.4,Review score,46,1
Khaleej ALez Furnished Units,Dammam  ,122,Studio Apartment,3,6.8,Review score,588,1
الحماد للشقق الفندقية,Jeddah  ,150,King Room,1,7.2,Good,66,1
Silent Room 1 By Quiet Rooms,Riyadh  ,183,One-Bedroom Apartment,1,6.8,Review score,446,1
شاليه فيلا درة العروس,Jeddah ,2000,Two-Bedroom Chalet,9,8.5,Very good,77,1
Chalet Y&M,Ar Rafī‘ah  ,720,One-Bedroom Chalet,4,0.0,,0,1
Al Muhaidb Tahliya (Olaya),Raʼs Munaysif,240,Studio,1,6.3,Review score,598,1
ستديو القهوة النجدية المزاحمية طريق مكة,Makkah ,144,One-Bedroom Apartment,1,0.0,,0,1
Danat Layalina Apparthotel,Al Namas  ,200,One-Bedroom Apartment,3,7.6,Good,499,1
OYO 351 Darr Mesk,Hail  ,122,Standard Studio Double,1,5.8,Review score,123,1
Al Fairouz Resort,Taif ,215,Suite with Balcony,1,7.7,Good,197,1
Grand Star Al Saha Hotel,Jeddah  ,203,Standard Twin Room,1,7.3,Good,249,1
Silent Room 3 By Quiet Rooms,Riyadh  ,216,Deluxe Suite,2,7.2,Good,307,1
Mar Al Diyafah,Burayman,210,Economy Double or Twin Room,1,8.4,Very good,39,1
OYO 315 Ramz Abha Hotel,Abha  ,126,Standard Studio,1,8.0,Very good,1390,1
OYO 277 Al Tamayoz Al Raqi Furnished Units 3,Jeddah  ,88,Deluxe Studio,2,6.1,Review score,328,1
Al Naseem Apartments 9,Riyadh  ,44,Twin Room,2,4.8,Review score,26,1
Jood At Taif residential units,Taif  ,120,Studio Apartment,2,7.0,Good,166,1
Rest Night Hotel Apartments Wadi Al Dawasir,Wadi Al Dawasir  ,252,Double Room,2,8.1,Very good,1233,1
Royal Nights Chalet,Ad Darb  ,500,Two-Bedroom Chalet,3,5.2,Review score,4,1
Comfort Inn AL TAAWON FAMILY ONLY,Riyadh  ,171,Studio,1,5.5,Review score,470,1
فندق زهرة السعد 6,Makkah  ,100,Deluxe Double Room,1,7.6,Good,107,1
درة العروس - للعائلات فقط,Jeddah ,650,Three-Bedroom Chalet,6,7.4,Good,55,1
Seasons Park Hotel,Jeddah,330,Queen Room with Two Queen Beds,2,8.6,Fabulous,1029,1
OYO 167 Dar Al Raies Hotel,Makkah  ,91,Standard Studio,1,7.1,Good,852,1
فندق حياة المدينة,Madinah,108,Deluxe King Room,1,7.0,Good,35,1
Al Eairy Apartments- Riyadh 3,Riyadh  ,105,Double or Twin Room,1,5.4,Review score,604,1
By Quiet Rooms ركن العمر للوحدات السكنية,Riyadh  ,191,Studio,1,6.4,Review score,205,1
Samaa Eva Resort,Abha  ,250,Junior Suite,1,8.3,Very good,583,1
Nawazi Al Tawsea,Makkah  ,75,Double Room,2,5.4,Review score,432,1
Quetzal Aparthotel,Riyadh ,383,Standard Double Room,2,7.9,Good,1773,1
The origins of Capricorn Arbism 15,Dammam  ,85,One-Bedroom Apartment,2,4.5,Review score,20,1
نوفا السويدى,Riyadh  ,280,Two-Bedroom Apartment,5,5.3,Review score,23,1
Dar Al Janoub Hotel Apartments,Jeddah ,450,Economy Double or Twin Room,1,8.6,Fabulous,940,1
غروب الشمس للشقق المفروشه,Jazan  ,150,One-Bedroom Apartment,2,6.4,Review score,13,1
فندق أعيان المعابدة,Makkah  ,59,Double Room with Private Bathroom,2,8.1,Very good,35,1
TIME Dammam Residence,Dammam  ,238,One-Bedroom Apartment,1,7.9,Good,968,1
the blue Diamond 17,Dammam  ,69,Economy Triple Room,3,4.6,Review score,17,1
Armada Hotel Jazan,Jazan ,234,Deluxe Room,1,8.5,Very good,1250,1
فندق جواد التاج Jawad Al-Taj Hotel,Makkah,157,Economy Double Room,2,6.0,Review score,600,1
AlMuhaidb Residence Alkhafji,Al Khafji  ,239,Superior Double Room,1,8.4,Very good,1252,1
Al Eairy Apartments - Al Madinah 14,Madinah,65,Double or Twin Room,1,5.9,Review score,1541,1
AlBaha Palace Furnished Apartment,Al Baha  ,221,Double Room,1,7.6,Good,400,1
Holiday Plus Hotel Suites,Jeddah  ,404,Two-Bedroom Apartment,3,8.1,Very good,249,1
Waqf Al Sherbiny 3,Madinah,100,Standard Studio,1,8.1,Very good,296,1
Radisson Blu Resort Jizan,Jazan  ,534,Standard Room,1,7.6,Good,3436,1
أزد للشقق الفندقية,Tanomah  ,350,Superior Double or Twin Room with Mountain View,1,9.2,Superb,41,1
Crown Tower Hotel,Al Jubail  ,257,Standard Double Room,2,8.2,Very good,1209,1
المنتدي,Abha ,75,Deluxe Double Room,1,4.5,Review score,154,1
فندق الفيصل,Al Ula  ,250,One-Bedroom Apartment,2,5.9,Review score,12,1
Al Denny Aparthotel,Jeddah  ,120,Double Room,1,7.0,Good,749,1
ضيوف جدة للشقق الفندقية,Jeddah  ,153,Studio,1,7.7,Good,305,1
ALolayan Plaza Hotel فندق العليان بلازا,Makkah  ,125,Standard  Room,2,7.8,Good,571,1
فندق الميار Almayar hotel,Madinah,210,Deluxe Queen Room,1,8.6,Fabulous,30,1
Methaq Hotel Suites 2,Riyadh ,270,One-Bedroom Suite,1,4.0,Review score,7,1
Shataa Alula Apartment,Al Ula  ,350,One-Bedroom Apartment,1,8.3,Very good,3,1
"Luxury Modern Apartment, Alwaha- للعوائل فقط",King Abdullah Economic City ,891,Two-Bedroom Apartment,5,9.6,Exceptional,20,1
Najmat Manami Azizyya,Riyadh ,170,One-Bedroom Apartment,1,7.1,Good,111,1
Fakher Yanbu 3 Furnished Units,Yanbu  ,400,Suite with Sea View,1,7.9,Good,398,1
Zowar International Hotel,Madinah,159,Standard Twin Room,1,7.0,Good,1668,1
Al Farhan Hotel Suites,Al Jubail  ,141,Deluxe Double Room (1 adult + 1 child),1,6.8,Review score,419,1
Hayah Al Waha Hotel,Madinah,93,Triple Room,3,5.9,Review score,2579,1
Gacine Hotel,Madinah,235,Large Twin Room,2,8.9,Fabulous,637,1
Ramz Al Fakhamah,Taif  ,178,Deluxe King Studio,1,8.6,Fabulous,837,1
Open ApartHotel,Dammam  ,171,One-Bedroom Apartment,2,5.5,Review score,729,1
Elite Jeddah Hotel,Jeddah,295,Budget Double Room,2,7.8,Good,1395,1
Shahad Hotel,Riyadh  ,162,One-Bedroom Apartment,1,7.2,Good,15,1
Arif Housing Units,Buraydah  ,270,Standard King Room,1,8.7,Fabulous,627,1
Burj Alhayah Hotel Suites Alfalah,Riyadh  ,220,Studio,1,7.5,Good,731,1
Burj Al Faris Hotel Apartments,Jeddah  ,196,Studio,1,8.1,Very good,923,1
Al Marwa Rayhaan by Rotana - Makkah,Makkah  ,314,Classic King Room Haram view,1,7.7,Good,8052,1
فندق سكناي رويالSuknai Royal Hotel,Hail  ,397,Standard King Room,1,8.9,Fabulous,81,1
Kayan Al Taif Hotel,Taif  ,254,Superior King Room,1,8.5,Very good,1221,1
Four Seasons Stars Aparthotel,Al Jubail  ,140,King Studio,1,8.2,Very good,74,1
المهيدب للوحدات السكنيه - حي البوادي,Jeddah,204,King Studio,1,8.5,Very good,103,1
فندق لافيرا ان Lavera Inn Hotel,Riyadh ,366,Deluxe Double Room,1,8.2,Very good,139,1
New Suite,Riyadh ,194,Deluxe Room (1 adult + 2 children),1,7.4,Good,127,1
Lina Park 5,Al Khobar  ,135,One-Bedroom Apartment,1,6.7,Review score,441,1
Rosa Aparthotel,Buraydah  ,200,Double or Twin Room,1,6.1,Review score,124,1
Golden Bujari Hotel Al Khamis,Khamis Mushayt  ,523,Junior Suite,1,8.0,Very good,523,1
"Crowne Plaza Jeddah, an IHG Hotel",Jeddah ,435,Standard Double Room,1,8.3,Very good,1560,1
"Crowne Plaza Riyadh - RDC Hotel & Convention, an IHG Hotel",Riyadh  ,795,Deluxe Room with Two Beds - Non-Smoking,2,8.8,Fabulous,2137,1
"InterContinental Jeddah, an IHG Hotel",Jeddah ,702,Deluxe Room,1,7.9,Good,2785,1
"Crowne Plaza Riyadh Al Waha, an IHG Hotel",Riyadh  ,420,Superior Room,1,7.5,Good,1717,1
Gloria Inn Riyadh,Riyadh  ,300,Standard Room,1,8.0,Very good,3964,1
جلنار المدينة,Madinah,210,One-Bedroom Apartment,1,7.7,Good,98,1
Al Farhan Dumah Al Jandal,Dawmat al Jandal  ,152,Budget Single Room,1,8.2,Very good,104,1
استراحة الشبعان,Shaban  ,150,One-Bedroom Apartment,2,0.0,,0,1
Areen Jeddah Suites Al Madina Road,Jeddah ,212,Junior Suite,1,7.3,Good,144,1
Radiha Hotel Suites,Taif ,180,Deluxe King Room,1,7.3,Good,273,1
إليت الحمراء - فرع الكورنيش,Ar Ruʼays  ,420,Suite with Sea View,2,8.1,Very good,158,1
Sendan Residence,Dammam  ,360,One Bedroom Apartment,2,8.3,Very good,2033,1
Top Stars Hotel,Al Hanakiyah  ,150,Deluxe Double Room with Bath,1,8.8,Fabulous,54,1
أورينتال رزيدنس الدمام,Dammam  ,450,Deluxe Double Room,1,8.5,Very good,216,1
روز للوحدات السكنيه,Al Thybiyah  ,185,Double or Twin Room with Bathroom,2,8.0,Very good,44,1
كيان للأجنحة الفندقية,Ahad Rafidah  ,325,Deluxe King Room,1,9.3,Superb,130,1
Le Park Concord Hotel - Turaif,Ţurayf  ,250,Deluxe Suite,1,9.0,Superb,280,1
فندق كيان,Ahad Rafidah  ,225,Deluxe Double Room,1,8.3,Very good,70,1
Mabiti Alula فندق مبيتي العلا,Al Ula  ,585,Superior Queen Room,1,8.3,Very good,58,1
Alfaw Plaza Hotel,Sharurah ,220,Standard Single Room,1,8.8,Fabulous,67,1
Crystal Blue Rabigh 2,Rabigh  ,300,Deluxe Double Room (2 Adults + 1 Child),1,8.4,Very good,243,1
ذوق الخيال بإدارة وتشغيل الضيافة بالاس,Jeddah,388,Superior One-Bedroom Apartment,1,8.9,Fabulous,238,1
Jeddah Seasons Furnished Apartments,Riyadh ,200,Family Suite,1,7.3,Good,98,1
فندق لؤلؤة المختارون,Riyadh ,60,Twin Room,2,6.0,Review score,18,1
Novotel Riyadh Al Anoud,Riyadh  ,360,Superior Queen Room,1,7.2,Good,2943,1
Centro Waha by Rotana,Riyadh ,450,Standard Twin Room,2,7.5,Good,6614,1
Novotel Yanbu Albahr,Yanbu  ,480,Superior Double Room,1,8.0,Very good,2591,1
Mövenpick Hotel City Star Jeddah,Jeddah ,440,Superior King Room,1,8.5,Very good,1614,1
"Holiday Inn Meydan, an IHG Hotel",Riyadh,285,Standard Room,1,7.6,Good,2406,1
"Holiday Inn Riyadh Al Qasr, an IHG Hotel",Riyadh,375,Standard Room,2,7.2,Good,4162,1
Dar Al Asalah Hotel-Apartments,Hotat bani tamim  ,200,One-Bedroom Apartment,1,7.8,Good,55,1
Four Points by Sheraton Makkah Al Naseem,Makkah  ,149,King Room,1,8.5,Very good,13389,1
أجنحة سالين - للوحدات السكنية المفروشة,As Suwayfilah,99,Double Room with Private Bathroom,1,5.9,Review score,53,1
رمال الجزيره,Taif  ,170,One-Bedroom Apartment,1,6.3,Review score,153,1
M Hotel Makkah by Millennium,Makkah  ,120,Standard Twin Room,2,7.8,Good,5301,1
Carawan Hotel Jeddah - Al Naeem Near Al Danube Market in Madina Road,Jeddah ,270,Standard Twin Room,2,8.0,Very good,1124,1
نظرة للشقق الفندقية,Al Khobar,436,One-Bedroom Apartment,2,7.9,Good,10,1
Riyadh Marriott Hotel,Riyadh  ,425,"Guest Room, 1 King",1,7.6,Good,895,1
Novotel Suites Riyadh Olaya,Riyadh ,400,Junior King Suite,1,7.2,Good,1558,1
"Holiday Inn Riyadh Izdihar, an IHG Hotel",Riyadh ,325,Standard Double Room - Non-Smoking,1,7.8,Good,1487,1
Hyatt House Jeddah Sari Street,Jeddah,425,Twin Studio,2,8.4,Very good,2287,1
Sheraton Riyadh Hotel & Towers,Riyadh ,495,"Classic Room, Guest room, 1 Queen",1,8.0,Very good,849,1
Executives Hotel - Olaya,Riyadh,473,Standard King Room,1,7.9,Good,5475,1
Etlalet Al-Sharm Apartments,Yanbu  ,450,Two-Bedroom Apartment,6,7.8,Good,209,1
Lafontaine Jeddah Hotel,Jeddah  ,189,Deluxe Twin Room,2,6.8,Review score,1210,1
Jabal Omar Hyatt Regency Makkah,Makkah ,600,Twin Room,2,8.4,Very good,20622,1
Lara Al Jawf Hotel Apartments,Arar  ,158,Standard Apartment,2,7.9,Good,283,1
Golden Tulip Buraidah Al Qassim,Buraydah  ,405,Standard Twin Room,2,7.5,Good,1182,1
Ibis Jeddah Malik Road,Jeddah,289,Standard Twin Room,2,7.9,Good,2579,1
Centro Salama Jeddah by Rotana,Jeddah ,346,Queen Room,1,7.9,Good,3441,1
"Crowne Plaza Madinah, an IHG Hotel",Madinah,345,Standard Room,1,8.1,Very good,3669,1
JEDDAH PALACE,Jeddah  ,150,Deluxe King Room,1,6.9,Review score,390,1
Tulip Inn Al Dar Rawafed,Madinah,280,King Room with City View,1,7.9,Good,2227,1
"Holiday Inn Jeddah Al Salam, an IHG Hotel",Jeddah  ,301,Leisure King Room with Pool View - Smoking,1,7.4,Good,1913,1
Seven Garden's Hotel,Taif  ,365,King Studio,1,9.4,Superb,1135,1
Glamour Inn جلامور ان,Jeddah,200,Budget Double Room,1,7.0,Good,223,1
