hotel_name,location,price,room_type,beds,rating,rating_title,number_of_ratings,per_night
Raghdan Village,Al Baha,297,One-Bedroom Chalet,2,5.9,Review score,410,1
فندق ضيوف النباريس,Jeddah,85,Studio,1,5.4,Review score,673,1
فندق صدفة,Riyadh,490,Deluxe King Room,1,8.8,Fabulous,83,1
Ramada Encore Al Khobar Olaya,Riyadh,319,Queen Room - Non-Smoking,1,7.5,Good,2776,1
Staytion First - Al Zahra,Jeddah,170,Studio Apartment,1,8.8,Fabulous,972,1
شاليهات سويت هوم الدرب الكدره,Ad Darb,450,One-Bedroom Apartment,1,9.1,Superb,28,1
وفود للوحدات السكنية المفروشة,Rafha,129,King Room,1,8.1,Very good,65,1
القصر للاجنحة الفندقية (احد رفيده),Khamis Mushayt,340,Deluxe Queen Suite,4,8.6,Fabulous,99,1
العييري للوحات المفروشة جدة 5,Jeddah,86,Double Room with Private Bathroom,3,5.9,Review score,16,1
بست ون للوحدات السكنيه المفروشه,Al Duwadimi,270,One-Bedroom Apartment,1,8.6,Fabulous,22,1
شاليهات ارنيكا,Taif,300,Two-Bedroom Chalet,4,8.2,Very good,71,1
Touq Balad,Jeddah,175,Budget Double Room,1,8.4,Very good,504,1
توجاردن الحرمين,Jeddah,200,Executive Suite,2,9.0,Superb,85,1
Address Sharurah Hotel,Sharurah,200,Standard Double Room,2,8.1,Very good,97,1
The first diamond الماسيه الاولي,Jeddah,225,Economy Double Room,1,8.3,Very good,52,1
Al Madinah Concorde Hotel,Madinah,137,Deluxe King Room,1,6.8,Review score,703,1
Marina House,Riyadh,86,Budget Double Room,2,5.0,Review score,216,1
THORA ALAMJAD FURNISHED APARTMENTS (ذرى الامجاد للوحدات السكنية المفروشة (الراحة بلازا سابقا,Sharurah,119,Family Studio,1,7.2,Good,235,1
Durat Al Ruwmansiya 3,Tabuk,140,Deluxe Apartment,2,6.3,Review score,863,1
Shahad Al Taif,Taif,144,Studio Apartment,1,7.4,Good,2439,1
Business Inn Tahlia Hotel,Riyadh,237,Business King Room,1,6.6,Review score,1023,1
Manazeli AlKhozama منازلي الخزامى,Madinah,150,Economy Double Room,1,7.4,Good,5,1
reef101,Riyadh,150,Studio,1,6.1,Review score,200,1
فندق ارتال طيبة Artal Taiba Hotel,Madinah,83,Budget Triple Room,3,6.6,Review score,1117,1
