hotel_name,location,price,room_type,beds,rating,rating_title,number_of_ratings,per_night,Log_number_of_ratings,Log_price
"Park Inn by Radisson, Riyadh",Riyadh,352,Standard Room,1,8.2,Good,1373,1,7.224753405767971,5.863631175598097
Taleen AlAqiq hotel apartments,Riyadh,230,One-Bedroom Apartment,2,6.8,Very good,1206,1,7.095064377287131,5.438079308923196
REVERA RESORT,Madinah,850,Studio with Garden View,3,8.3,Good,47,1,3.8501476017100584,6.745236349484363
Raghdan Village,Al Baha,297,One-Bedroom Chalet,2,5.9,Very good,410,1,6.016157159698354,5.6937321388027
فندق ضيوف النباريس,Jeddah,85,Studio,1,5.4,Very good,673,1,6.511745329644728,4.442651256490317
فندق صدفة,Riyadh,490,Deluxe King Room,1,8.8,Fabulous,83,1,4.418840607796598,6.194405391104672
Ramada Encore Al Khobar Olaya,Riyadh,319,Queen Room - Non-Smoking,1,7.5,Good,2776,1,7.9287663216266955,5.765191102784844
Staytion First - Al Zahra,Jeddah,170,Studio Apartment,1,8.8,Fabulous,972,1,6.879355804460439,5.135798437050262
شاليهات سويت هوم الدرب الكدره,Ad Darb,450,One-Bedroom Apartment,1,9.1,Superb,28,1,3.332204510175204,6.1092475827643655
وفود للوحدات السكنية المفروشة,Rafha,129,King Room,1,8.1,Good,65,1,4.174387269895637,4.859812404361672
القصر للاجنحة الفندقية (احد رفيده),Khamis Mushayt,340,Deluxe Queen Suite,4,8.6,Fabulous,99,1,4.59511985013459,5.8289456176102075
العييري للوحات المفروشة جدة 5,Jeddah,86,Double Room with Private Bathroom,3,5.9,Very good,16,1,2.772588722239781,4.454347296253507
بست ون للوحدات السكنيه المفروشه,Al Duwadimi,270,One-Bedroom Apartment,1,8.6,Fabulous,22,1,3.091042453358316,5.598421958998375
شاليهات ارنيكا,Taif,300,Two-Bedroom Chalet,4,8.2,Good,71,1,4.2626798770413155,5.703782474656201
Touq Balad,Jeddah,175,Budget Double Room,1,8.4,Good,504,1,6.222576268071369,5.1647859739235145
توجاردن الحرمين,Jeddah,200,Executive Suite,2,9.0,Superb,85,1,4.442651256490317,5.298317366548036
Address Sharurah Hotel,Sharurah,200,Standard Double Room,2,8.1,Good,97,1,4.574710978503383,5.298317366548036
The first diamond الماسيه الاولي,Jeddah,225,Economy Double Room,1,8.3,Good,52,1,3.9512437185814275,5.41610040220442
Al Madinah Concorde Hotel,Madinah,137,Deluxe King Room,1,6.8,Very good,703,1,6.555356891810665,4.919980925828125
Marina House,Riyadh,86,Budget Double Room,2,5.0,Very good,216,1,5.375278407684165,4.454347296253507
THORA ALAMJAD FURNISHED APARTMENTS (ذرى الامجاد للوحدات السكنية المفروشة (الراحة بلازا سابقا,Sharurah,119,Family Studio,1,7.2,Good,235,1,5.459585514144159,4.77912349311153
Durat Al Ruwmansiya 3,Tabuk,140,Deluxe Apartment,2,6.3,Very good,863,1,6.760414691083428,4.941642422609304
Shahad Al Taif,Taif,144,Studio Apartment,1,7.4,Good,2439,1,7.79934339821592,4.969813299576001
Business Inn Tahlia Hotel,Riyadh,237,Business King Room,1,6.6,Very good,1023,1,6.930494765951626,5.4680601411351315
Manazeli AlKhozama منازلي الخزامى,Madinah,150,Economy Double Room,1,7.4,Good,5,1,1.6094379124341003,5.0106352940962555
reef101,Riyadh,150,Studio,1,6.1,Very good,200,1,5.298317366548036,5.0106352940962555
فندق ارتال طيبة Artal Taiba Hotel,Madinah,83,Budget Triple Room,3,6.6,Very good,1117,1,7.018401799069201,4.418840607796598
""" لاڤيلا ""منتجع وشاليهات لا فيلا العرسان",Riyadh,250,Deluxe Double Room with Balcony,1,7.3,Good,86,1,4.454347296253507,5.521460917862246
شاطئ الحياة للأجنحة الفندقية,Jeddah,187,Studio,1,8.1,Good,380,1,5.940171252720432,5.231108616854587
Mirage Al Salam Hotel,Madinah,125,Basic Triple Room,3,7.2,Good,2530,1,7.835974581721566,4.8283137373023015
ريحانة الورد,Abha ,88,Budget Double Room,1,6.9,Very good,28,1,3.332204510175204,4.477336814478207
Rihan Tibah Furnished Units,Madinah,99,Triple Room with Private Bathroom,3,5.4,Very good,36,1,3.58351893845611,4.59511985013459
لوريت للشقق والاجنحة الفندقية,Jeddah,225,Junior Suite,1,0.0,Very good,0,1,-inf,5.41610040220442
مزرعة بإطلالة على الجبل,Madain,1603,Family Room,8,8.5,Good,15,1,2.70805020110221,7.3796321526095525
Al Rose Al Motamaiza Furnished Apartment,Jeddah,185,One-Bedroom Apartment,1,7.3,Good,485,1,6.184148890937483,5.220355825078324
ملفا للأجنحة الفندقية- فرع حي الموسى,Bishah,180,One-Bedroom Apartment,1,8.0,Good,144,1,4.969813299576001,5.19295685089021
Al Muhaidb Residence Al Khobar,Riyadh,255,Double Room,1,6.8,Very good,1202,1,7.091742115095153,5.541263545158426
Jamjoom Hotel - فندق الجمجوم,Jeddah,131,Deluxe King Room,1,6.2,Very good,724,1,6.584791392385716,4.875197323201151
Diamond Elite hotel,Jeddah,225,Twin Room,2,8.4,Good,1319,1,7.1846291527173145,5.41610040220442
Almakan Suites 111,Riyadh ,61,Studio Apartment,1,4.0,Very good,830,1,6.721425700790643,4.110873864173311
Swiss EYE,Jeddah,219,Deluxe Twin Room,2,7.6,Good,1073,1,6.9782137426306985,5.389071729816501
Al Hamra Palace ApartHotel Falastin,Jeddah,170,Deluxe Studio,1,6.7,Very good,1529,1,7.332369205929062,5.135798437050262
برج سما للشقق المفروشة,Jeddah,102,Studio,2,6.3,Very good,768,1,6.643789733147672,4.624972813284271
Ebreez Hotel,Jeddah,200,Deluxe King Room,1,7.5,Good,2248,1,7.717796211013582,5.298317366548036
Hawadah Hotel,Jeddah,230,Standard Double Room,1,7.3,Good,461,1,6.133398042996649,5.438079308923196
شدون للوحدات السكنية,Buraydah,144,Double Room - Disability Access,1,6.9,Very good,171,1,5.14166355650266,4.969813299576001
Durrat Hira ApartHotel,Jeddah,163,Studio,1,8.1,Good,1067,1,6.9726062513017535,5.093750200806762
منتجع قرية الريف الفندقية,Taif,315,One-Bedroom Chalet,1,7.8,Good,95,1,4.553876891600541,5.752572638825633
منتجع قرية الفقرة,Madinah,1400,Two-Bedroom Villa,4,8.6,Fabulous,8,1,2.0794415416798357,7.24422751560335
فندق رحابة Rahabah Hotel,Makkah,158,Budget Double Room,1,7.3,Good,14,1,2.6390573296152584,5.062595033026967
Acacia Aparthotel,Jeddah,144,Economy Double Room,1,7.4,Good,1387,1,7.234898420314831,4.969813299576001
Danat Park Hotel,Yanbu,140,Budget Double Room,1,6.5,Very good,563,1,6.333279628139691,4.941642422609304
فندق بانوراما الخبر-Panorama ALkohbar Hotel,Riyadh,400,Duplex Studio,1,6.6,Very good,89,1,4.48863636973214,5.991464547107982
Rose Diamond Hotel,Madinah,100,Standard Quadruple Room,3,6.7,Very good,318,1,5.762051382780177,4.605170185988092
Makarim Palm Hotel,Rabigh,160,One-Bedroom Apartment,1,6.8,Very good,311,1,5.739792912179234,5.075173815233827
Luxury apartment in KAEC شقة فاخرة ابراج الشاطئ مدينة الملك عبدالله الاقتصادية - اطلالة علي المدينة,King Abdullah Economic City,1259,Apartment,5,9.4,Superb,7,1,1.9459101490553132,7.138073034044347
مينا بلازا الطائف Mena Plaza Taif,Taif,140,Standard King Room,1,5.8,Very good,1112,1,7.013915474810528,4.941642422609304
Al Qibla Hotel,Madinah,285,Twin Room - Non-Smoking,2,6.3,Very good,1690,1,7.432483807917119,5.652489180268651
Orchida Al Hamra,Riyadh ,111,King Studio,1,5.8,Very good,15,1,2.70805020110221,4.709530201312334
فندق النهضة Al Nahda Hotel,Jeddah,111,Studio,1,6.3,Very good,340,1,5.8289456176102075,4.709530201312334
رحاب الضيافة,Dammam,230,Two-Bedroom Apartment,6,0.0,Very good,0,1,-inf,5.438079308923196
Baisan Suites Al Jubail,Al Jubail,210,One-Bedroom Apartment,1,7.0,Good,607,1,6.408528791059498,5.3471075307174685
Afaq Jeddah,Jeddah,162,Budget Double Room,1,6.8,Very good,2020,1,7.61085279039525,5.087596335232384
Naviti Warwick Al Khobar,Riyadh ,309,Deluxe Double Room,1,7.6,Good,3543,1,8.172729104865471,5.733341276897746
شاليه وئام,Umm as Salam,650,One-Bedroom Chalet,2,0.0,Very good,0,1,-inf,6.476972362889683
Almakan Hotel 103,Riyadh,144,One-Bedroom Apartment,1,6.0,Very good,1789,1,7.489412083508719,4.969813299576001
Bhadur Resort Jeddah,Jeddah,600,Standard  Room,1,5.7,Very good,854,1,6.74993119378857,6.396929655216146
Quartz Executive كوارتز التنفيذية,Abha,322,Superior Suite,2,8.5,Good,87,1,4.465908118654584,5.7745515455444085
رواسل,Jeddah,168,Superior Twin Room,2,8.1,Good,79,1,4.3694478524670215,5.123963979403259
Almuhaidb Residence Al Jubail,Al Jubail,250,Standard King Room,1,7.7,Good,1596,1,7.3752557780097545,5.521460917862246
Nuzul mena 109,Riyadh,126,Studio Apartment,2,6.2,Very good,970,1,6.877296071497429,4.836281906951478
فندق العرب إن,Riyadh,75,Deluxe Double Room,2,7.3,Good,33,1,3.4965075614664802,4.31748811353631
Royal El Naser Hotel,Riyadh,150,Deluxe Double Room,1,5.3,Very good,375,1,5.926926025970411,5.0106352940962555
Karam Hiraa Hotel Apartments - كرم حراء للشقق الفندقية,Jeddah,229,Deluxe Double Studio,2,8.0,Good,864,1,6.761572768804055,5.43372200355424
