hotel_name,location,price,room_type,beds,rating,rating_title,number_of_ratings,per_night,Log_number_of_ratings,Log_price
Najd Peak By Quiet Rooms,Riyadh,162,One-Bedroom Apartment,2,5.4,Very good,530,1,6.272877006546167,5.087596335232384
شقق جنان المفروشة Jenaan Apartments,Najran,133,One-Bedroom Apartment,1,8.1,Good,280,1,5.634789603169249,4.890349128221754
Mabet Al Tahlia Hotel Apartments,Jeddah,237,Deluxe King Studio,1,7.9,Good,1099,1,7.002155954403621,5.4680601411351315
Diamond Tower Hotel,Jeddah,219,Superior  Twin Studio,2,8.6,Fabulous,1189,1,7.080867896690782,5.389071729816501
العييرى للوحدات السكنية بالقنفذة,Al Qunfudhah,95,Double Room with Private Bathroom,4,5.3,Very good,21,1,3.044522437723423,4.553876891600541
Maset Al Masem Al Khobar,Riyadh,300,Double Room with Private Bathroom,2,7.9,Good,648,1,6.473890696352274,5.703782474656201
دار شيمة,An Nuqrah,130,Deluxe Double Room,2,0.0,Very good,0,1,-inf,4.867534450455582
Taj Al Khaleej Furnished Units 2,Turayf,150,Deluxe Apartment,2,8.8,Fabulous,116,1,4.7535901911063645,5.0106352940962555
القبة الذهبية1,Riyadh,205,Two-Bedroom Apartment,3,6.6,Very good,180,1,5.19295685089021,5.3230099791384085
Al Taif Gate Hotel Suites,Taif ,167,One-Bedroom Apartment,1,7.6,Good,4328,1,8.372860820526318,5.117993812416755
HDB hotel Sahafa فندق هدب الصحافه,Riyadh,324,Deluxe Double Room,1,7.6,Good,1157,1,7.053585727193677,5.780743515792329
Hayaa Hotel,Makkah,70,Double Room with Private Bathroom,2,6.3,Very good,386,1,5.955837369464831,4.248495242049359
ريف العلا,Al Ula ,250,King Room,1,7.8,Good,9,1,2.1972245773362196,5.521460917862246
Nozol Royal Inn Hotel,Madinah,180,Quadruple Room with Bathroom,4,7.0,Good,4108,1,8.32069157104845,5.19295685089021
Golden Garden Al Corniche,Dammam,299,King Suite,1,7.2,Good,4641,1,8.442685139241176,5.700443573390687
Al Atlal Hotel,Riyadh,207,Double Room,1,6.9,Very good,1353,1,7.210079628170788,5.332718793265369
Bay La Sun Hotel and Marina - KAEC,King Abdullah Economic City,705,Deluxe Double Room with City View,1,8.2,Good,9052,1,9.110741006753427,6.558197802812269
فندق المحمل العصري,Sharurah,150,Double Room,1,0.0,Very good,0,1,-inf,5.0106352940962555
Ghoson Al Zaitoun Furnished Units,Sakakah  ,130,Double Room,1,7.1,Good,51,1,3.9318256327243257,4.867534450455582
Lamar Al Bawadi Hotel,Jeddah  ,285,Executive Suite,1,8.0,Good,1664,1,7.416979621381154,5.652489180268651
Home Inn Hotel Suites,Riyadh,210,Junior Suite,2,8.7,Fabulous,818,1,6.706862336602747,5.3471075307174685
Al Musafer Hotel Riyadh,Riyadh ,142,Twin Room,2,5.9,Very good,608,1,6.410174881966167,4.955827057601261
Hilton Garden Inn Riyadh Financial District,Riyadh ,539,King Room,1,7.4,Good,700,1,6.551080335043404,6.289715570908998
شقق جنان المفروشة Jenaan Apartments,Najran ,133,One-Bedroom Apartment,1,8.1,Good,280,1,5.634789603169249,4.890349128221754
Maset Al Masem Al Khobar,Riyadh ,300,Double Room with Private Bathroom,2,7.9,Good,648,1,6.473890696352274,5.703782474656201
دار شيمة,Hail,130,Deluxe Double Room,2,0.0,Very good,0,1,-inf,4.867534450455582
Al Taif Gate Hotel Suites,Taif,167,One-Bedroom Apartment,1,7.6,Good,4328,1,8.372860820526318,5.117993812416755
ريف العلا,Al Ula,250,King Room,1,7.8,Good,9,1,2.1972245773362196,5.521460917862246
Oasis Rise Hotel Apartments,Jeddah,207,Studio,1,7.9,Good,490,1,6.194405391104672,5.332718793265369
Al Rahaa Furnished Units,Abha,195,Two-Bedroom Apartment,3,7.8,Good,1378,1,7.228388451573604,5.272999558563747
بيتي الفاخرللشقق الفندقية,Riyadh,250,One-Bedroom Apartment,2,8.8,Fabulous,11,1,2.3978952727983707,5.521460917862246
Farah Hotel,Makkah,65,Double Room with Private Bathroom,2,7.2,Good,260,1,5.560681631015528,4.174387269895637
الليل لك للاجنحه الفندقيه 2,Hail,182,Two-Bedroom Apartment,2,5.9,Very good,18,1,2.8903717578961645,5.204006687076795
أجنحة ورد,Madinah,131,Junior Suite,3,5.7,Very good,103,1,4.634728988229636,4.875197323201151
Najd Peak By Quiet Rooms,Riyadh ,162,One-Bedroom Apartment,2,5.4,Very good,530,1,6.272877006546167,5.087596335232384
شقق جنان المفروشة Jenaan Apartments,Najran ,133,One-Bedroom Apartment,2,8.1,Good,280,1,5.634789603169249,4.890349128221754
Rafa Homes - Al Falah,Riyadh ,336,Standard One-Bedroom Apartment,1,7.6,Good,982,1,6.889591308354466,5.817111159963204
القبة الذهبية1,Riyadh ,205,Two-Bedroom Apartment,3,6.6,Very good,180,1,5.19295685089021,5.3230099791384085
Al Taif Gate Hotel Suites,Taif,167,One-Bedroom Apartment,1,7.6,Good,4329,1,8.37309184744198,5.117993812416755
Mandaren Suites,Taif,280,One-Bedroom Apartment,1,8.7,Fabulous,251,1,5.5254529391317835,5.634789603169249
Nozol Royal Inn Hotel,Madinah,189,Quadruple Room with Bathroom,4,7.0,Good,4108,1,8.32069157104845,5.241747015059643
Al Atlal Hotel,Al Khobar,207,Double Room,1,6.9,Very good,1353,1,7.210079628170788,5.332718793265369
منتجع ومزرعة الرند العلا,Al Ula,1250,Two-Bedroom Chalet without pool,5,7.2,Good,8,1,2.0794415416798357,7.1308988302963465
Zahrat Rozah By Quiet Rooms,Riyadh,189,One-Bedroom Apartment,2,6.7,Very good,346,1,5.846438775057725,5.241747015059643
Al Eairy Apartments- Tabuk 4,Tabuk,150,Apartment,3,5.0,Very good,327,1,5.7899601708972535,5.0106352940962555
فندق عروق الذهب المكية 1,Makkah,57,Double Room with Private Bathroom,2,7.2,Good,65,1,4.174387269895637,4.04305126783455
Methaq Hotel Suites,Riyadh,230,One-Bedroom Apartment,1,6.7,Very good,260,1,5.560681631015528,5.438079308923196
Al Safa Hotel Suites,Jazan,151,One-Bedroom Apartment,2,7.5,Good,1331,1,7.193685818395112,5.017279836814924
Golden Tulip Al Waha Hotel - Unayzah,Unayzah,350,Standard King Room,1,8.9,Fabulous,44,1,3.784189633918261,5.857933154483459
Nawazi Ajyad Hotel,Makkah,123,Double Room,1,6.3,Very good,3674,1,8.20903626577507,4.812184355372417
أبهى رفاف خميس مشيط,Khamis Mushayt,79,Budget Double Room,1,4.0,Very good,14,1,2.6390573296152584,4.3694478524670215
Dar Sadan Hotel Suites,Al Bukayriyah,220,Studio,1,7.5,Good,221,1,5.3981627015177525,5.393627546352362
Rotana Hotel,Jeddah,161,Superior Twin Room,2,7.7,Good,1130,1,7.029972911706386,5.081404364984463
Capital O 419 Al Safeer Hotel,Riyadh,120,Standard Studio,2,5.9,Very good,1204,1,7.093404625868766,4.787491742782046
استراحة روح ابحر,Jeddah  ,720,Two-Bedroom Chalet,4,6.8,Very good,5,1,1.6094379124341003,6.579251212010101
Pullman ZamZam Makkah,Makkah,330,Superior Twin Room with Partial Haram View,2,7.2,Good,23493,1,10.064457783419048,5.799092654460526
Swissotel Al Maqam Makkah,Makkah,360,Classic Twin Room with Haram View,2,8.3,Good,21957,1,9.996841274269336,5.886104031450156
فندق المختارون بلازا,Makkah,60,Deluxe Double Room,1,6.8,Very good,145,1,4.976733742420574,4.0943445622221
Rawasi Hotel Suites 3 (For Families Only),Jeddah,250,Two-Bedroom Apartment,3,7.6,Good,264,1,5.575949103146316,5.521460917862246
Samaya Royal Afif,Afīf,170,Superior Apartment,2,8.3,Good,253,1,5.53338948872752,5.135798437050262
RAK Hotel-Aparts,Jeddah,218,Premiere Double Room,1,7.4,Good,1361,1,7.215975002651466,5.384495062789089
Lavent Park Hotel Suites,Jeddah,210,Standard King Room,1,7.2,Good,548,1,6.306275286948016,5.3471075307174685
دار كنان للوحدات السكنية,Jeddah,93,Budget Room,1,6.2,Very good,1020,1,6.927557906278317,4.532599493153256
Al Muhaidb Al Hada Resort,Taif,236,Economy Double Room,1,7.8,Good,802,1,6.687108607866515,5.4638318050256105
Spectrums Residence Managed by The Ascott Limited,Jeddah,405,One-Bedroom Apartment,1,8.2,Good,1524,1,7.329093736246592,6.003887067106539
القصر للأجنحة الفندقية 9 البديع,Abha  ,565,Junior Suite,2,9.4,Superb,20,1,2.995732273553991,6.336825731146441
شقة شاطئ النخيل,Jeddah ,514,Three-Bedroom Apartment,7,8.3,Good,26,1,3.258096538021482,6.2422232654551655
Dana Hotel & Residences 2,Riyadh ,270,One-Bedroom Suite,2,9.2,Superb,345,1,5.84354441703136,5.598421958998375
Hotel Ritaj Alsahel,Yanbu  ,200,Deluxe Room,1,7.9,Good,849,1,6.744059186311348,5.298317366548036
سكن وسط الطبيعة,Jeddah,372,One-Bedroom House,2,9.7,Exceptional,6,1,1.791759469228055,5.918893854273146
Diamond Elite Hotel,Jazan  ,225,Twin Room,2,8.2,Good,1272,1,7.148345743900068,5.41610040220442
حياة ريف للوحدات السكنية,Jeddah,143,One-Bedroom Apartment,2,7.7,Good,278,1,5.627621113690637,4.962844630259907
Ewaa Express Hotel - Gaber,Riyadh  ,375,Suite,1,8.9,Fabulous,562,1,6.331501849893691,5.926926025970411
"Radisson Blu Residence, Dhahran", Al Khobar ,349,Standard Room,1,8.3,Good,2955,1,7.991253929840199,5.855071922202427
Al kharboush For Furnished Units,Hafr Al Baten  ,148,Deluxe Room (2 Adults + 1 Child),1,8.2,Good,824,1,6.714170529909472,4.997212273764115
فندق كراون نجران,Najran ,199,Family Room with Private Bathroom,1,6.5,Very good,56,1,4.02535169073515,5.293304824724492
Retaj Al Bayt Suites,Makkah ,315,Standard Twin Room,2,7.7,Good,3361,1,8.119993827725105,5.752572638825633
قولدن سكوير طريق الرياض Golden Square Riyadh Road,Khamis Mushayt  ,280,One-Bedroom Apartment,2,9.0,Superb,755,1,6.626717749249025,5.634789603169249
Al Ghufran Safwah Hotel Makkah,Makkah ,309,Superior Double Room,2,8.8,Fabulous,7301,1,8.895766604056085,5.733341276897746
Aloft Dhahran Hotel,Al Khobar,375,"Aloft Room, 1 King",1,8.2,Good,4935,1,8.504107951867582,5.926926025970411
Ewaa Express Hotel - Al Rawda,Jeddah,259,Standard King Room,1,8.4,Good,382,1,5.945420608606575,5.556828061699537
Zaha Al Munawara Hotel,Madinah,141,Standard King Room,1,8.1,Good,3474,1,8.153061946801051,4.948759890378168
Manazil Al Dhayf,Jeddah,200,Twin Room,2,8.2,Good,910,1,6.813444599510896,5.298317366548036
Province Al Sham Hotel,Madinah,150,Twin Room,2,7.3,Good,2651,1,7.8826922062890254,5.0106352940962555
FLAMINGO Boutique Hotel,Jeddah,252,Junior Suite,2,8.3,Good,449,1,6.1070228877422545,5.529429087511423
Nadra Furnished Apartments,Taif  ,280,Two-Bedroom Apartment,3,6.8,Very good,268,1,5.5909869805108565,5.634789603169249
الاماكن,Al Ula  ,700,Holiday Home,13,0.0,Very good,0,1,-inf,6.551080335043404
فندق انتور جازان Intour Hotel,Jazan  ,342,Deluxe King Room,1,7.6,Good,195,1,5.272999558563747,5.834810737062605
فندق دانة التاج DANA ALTAJ HOTEL,Makkah,157,Economy Twin Room,2,6.2,Very good,737,1,6.602587892189336,5.056245805348308
فندق الرياض ان - riyadh inn hotel,Riyadh  ,270,Economy Double Room,1,7.8,Good,303,1,5.713732805509369,5.598421958998375
استراحة روح ابحر,Obhor  ,720,Two-Bedroom Chalet,4,6.8,Very good,5,1,1.6094379124341003,6.579251212010101
Rafa - Al Nuzhah,Riyadh  ,430,Superior Double Room,1,8.1,Good,1222,1,7.108244139731541,6.063785208687608
Pullman ZamZam Makkah,Makkah ,330,Superior Twin Room with Partial Haram View,2,7.2,Good,23493,1,10.064457783419048,5.799092654460526
Samaya Royal Afif,Afīf ,170,Superior Apartment,2,8.3,Good,253,1,5.53338948872752,5.135798437050262
RAK Hotel-Aparts,Jeddah ,218,Premiere Double Room,1,7.4,Good,1361,1,7.215975002651466,5.384495062789089
Al Muhaidb Al Hada Resort,Taif ,236,Economy Double Room,1,7.8,Good,802,1,6.687108607866515,5.4638318050256105
القصر للأجنحة الفندقية 9 البديع,Abha,565,Junior Suite,2,9.4,Superb,20,1,2.995732273553991,6.336825731146441
Dana Hotel & Residences 2,Riyadh,270,One-Bedroom Suite,2,9.2,Superb,345,1,5.84354441703136,5.598421958998375
Hotel Ritaj Alsahel,Yanbu,200,Deluxe Room,1,7.9,Good,849,1,6.744059186311348,5.298317366548036
سكن وسط الطبيعة,Jeddah ,372,One-Bedroom House,2,9.7,Exceptional,6,1,1.791759469228055,5.918893854273146
Diamond Elite Hotel,Jazan,225,Twin Room,2,8.2,Good,1272,1,7.148345743900068,5.41610040220442
Ewaa Express Hotel - Gaber,Riyadh,375,Suite,1,8.9,Fabulous,562,1,6.331501849893691,5.926926025970411
ساير للشقق الفندقية,Khamis Mushayt,90,Twin Room with Shared Toilet,2,6.0,Very good,4,1,1.3862943611198906,4.499809670330265
فندق صفوة اجياد,Makkah,100,Twin Room with Private Bathroom,2,6.9,Very good,34,1,3.5263605246161616,4.605170185988092
Mirage Hotel Jeddah,Jeddah,239,Deluxe Twin Room,2,9.0,Superb,1759,1,7.472500744737558,5.476463551931511
فندق وسام التاج,Makkah ,131,Economy Triple Room,3,6.0,Very good,606,1,6.406879986069314,4.875197323201151
Rest Night Hotel Suites- AL Falah,Riyadh,230,Double Room,1,6.9,Very good,1716,1,7.447751280047908,5.438079308923196
OYO 273 Star Yanbu Hotel Suites,Yanbu,140,Standard Studio,1,6.6,Very good,208,1,5.337538079701318,4.941642422609304
Violet Al Azizia Hotel,Makkah,161,King Room,1,8.5,Good,7107,1,8.868835492826895,5.081404364984463
Aber Hotel - AlYasmin,Riyadh,465,Deluxe Twin Room,2,8.4,Good,1433,1,7.267525427828172,6.142037405587356
البحر للوحدات السكنية,Yanbu,170,Standard Double Room,1,6.8,Very good,197,1,5.2832037287379885,5.135798437050262
Swiss Blue Al Samer,Jeddah,220,Studio,1,8.1,Good,589,1,6.3784261836515865,5.393627546352362
Semat ApartHotel,Jeddah ,300,One-Bedroom Apartment,1,8.3,Good,458,1,6.126869184114185,5.703782474656201
EVA Hotel,Jeddah  ,360,Deluxe Queen Room,1,8.2,Good,402,1,5.996452088619021,5.886104031450156
Marina Arar Furnished Apartments,Arar  ,153,Deluxe Double or Twin Room,1,8.9,Fabulous,771,1,6.647688373563329,5.030437921392435
OYO 176 Hotel Safari Al Hada,Taif,108,Standard Studio,1,6.1,Very good,2280,1,7.731930721948486,4.68213122712422
Madina Palace Hotel,Jeddah,207,Standard Double Room,2,6.0,Very good,330,1,5.799092654460526,5.332718793265369
روضة الملبي للوحدات السكنية,Madinah,120,Double Room,2,6.5,Very good,6,1,1.791759469228055,4.787491742782046
"Radisson Blu Hotel, Buraidah",Buraydah  ,444,Standard Room,1,8.3,Good,1826,1,7.509883061154913,6.095824562432225
Al Kenana Hotel,Makkah ,69,Double Room with Private Bathroom,2,7.2,Good,167,1,5.117993812416755,4.23410650459726
شاليه جُمان سبرينجز للعائلات,King Abdullah Economic City,590,One-Bedroom Chalet,5,9.5,Exceptional,6,1,1.791759469228055,6.380122536899765
فندق جمانه,Yanbu  ,270,Standard Twin Room,2,8.0,Good,1204,1,7.093404625868766,5.598421958998375
Al Hayaah Bayta,Tabuk  ,201,Studio Apartment,2,6.5,Very good,475,1,6.163314804034641,5.303304908059076
Ibis Yanbu,Yanbu  ,330,Double Room,1,7.9,Good,1134,1,7.033506484287697,5.799092654460526
شقه كبيره,Obhor ,480,Two-Bedroom Apartment,3,0.0,Very good,0,1,-inf,6.173786103901937
Batoul Ajyad Hotel,Makkah,111,Quadruple Room,4,7.5,Good,2362,1,7.767263996757308,4.709530201312334
نظرة للشقق الفندقية,Raʼs Munaysif,449,One-Bedroom Apartment,2,8.0,Good,11,1,2.3978952727983707,6.1070228877422545
Rwnza Hotel Apartments,Tabuk  ,200,One-Bedroom Apartment,5,5.4,Very good,63,1,4.143134726391533,5.298317366548036
Seher Aloyon Funished Apartments,Buraydah  ,250,Two-Bedroom Apartment,6,8.1,Good,599,1,6.395261598115449,5.521460917862246
Dari Hotel Families Only,Jeddah  ,266,Studio,1,8.9,Fabulous,238,1,5.472270673671475,5.583496308781699
Durra Taraf 1 Residential,Dammam  ,350,One-Bedroom Apartment,1,7.2,Good,1368,1,7.221105098182496,5.857933154483459
استراحات و شاليهات البرج,Al Baha,896,Two-Bedroom Apartment,9,7.4,Good,5,1,1.6094379124341003,6.79794041297493
هيفن بلازا,Riyadh ,230,Standard Room,1,6.4,Very good,3446,1,8.144969417087875,5.438079308923196
Iwan Alandalusia Al Ajaweed,Jeddah,230,Standard Double Room,1,7.8,Good,444,1,6.095824562432225,5.438079308923196
Taj Al Worood Hotel,Jeddah ,240,King Room,1,8.4,Good,2228,1,7.708859601047175,5.480638923341991
Taj Al Arous Furnished Units,Jeddah,90,غرفة نوم اقتصادية للعزاب مع حمام خارجي,2,6.5,Very good,73,1,4.290459441148391,4.499809670330265
شالية الياقوت الأبيض,Makkah,280,Two-Bedroom Chalet,10,0.0,Very good,0,1,-inf,5.634789603169249
Reef residence,Qaryah al Ulya,238,Two-Bedroom Apartment,6,0.0,Very good,0,1,-inf,5.472270673671475
Al Tamayoz Furnished Units,Madinah,72,Double or Twin Room,1,5.4,Very good,360,1,5.886104031450156,4.276666119016055
Arjaan Altakhassusi Hotel Suites,Riyadh  ,379,Superior Twin Apartment,2,8.6,Fabulous,1630,1,7.396335293800808,5.937536205082426
"Radisson Blu Hotel, Dhahran",Al Khobar,284,Standard Room,1,7.5,Good,1779,1,7.483806687665835,5.648974238161206
ساير للشقق الفندقية,Khamis Mushayt  ,90,Twin Room with Shared Toilet,2,6.0,Very good,4,1,1.3862943611198906,4.499809670330265
فندق صفوة اجياد,Makkah  ,100,Twin Room with Private Bathroom,2,6.9,Very good,34,1,3.5263605246161616,4.605170185988092
Mirage Hotel Jeddah,Jeddah ,239,Deluxe Twin Room,2,9.0,Superb,1759,1,7.472500744737558,5.476463551931511
OYO 273 Star Yanbu Hotel Suites,Yanbu ,140,Standard Studio,1,6.6,Very good,208,1,5.337538079701318,4.941642422609304
Aber Hotel - AlYasmin,Riyadh  ,465,Deluxe Twin Room,2,8.4,Good,1433,1,7.267525427828172,6.142037405587356
البحر للوحدات السكنية,Yanbu  ,170,Standard Double Room,1,6.8,Very good,197,1,5.2832037287379885,5.135798437050262
Swiss Blue Al Samer,Jeddah  ,220,Studio,1,8.1,Good,589,1,6.3784261836515865,5.393627546352362
Madina Palace Hotel,Jeddah  ,207,Standard Double Room,2,6.0,Very good,330,1,5.799092654460526,5.332718793265369
SAS Hotel,Al Jubail  ,299,Economic Room,1,7.2,Good,1134,1,7.033506484287697,5.700443573390687
Mera Houses Aparthotel,Baljurashi  ,200,Double Room,1,8.0,Good,1782,1,7.485491608030754,5.298317366548036
Al Qimah Apartments,Dammam  ,75,Standard Double Room with Shared Bathroom,2,5.0,Very good,362,1,5.8916442118257715,4.31748811353631
Dorar Rabigh Hotel Apartments,Rabigh  ,143,One-Bedroom Apartment,1,6.1,Very good,172,1,5.147494476813453,4.962844630259907
Dar Al Maamon Furnished Apartment,Jeddah ,275,Apartment,3,8.1,Good,365,1,5.8998973535824915,5.616771097666572
الزمردة للوحدات السكنية,Ash Shuqayq  ,296,Two-Bedroom Apartment,3,8.3,Good,65,1,4.174387269895637,5.69035945432406
Amyal Alras,Al Rass  ,212,One-Bedroom Apartment,1,8.4,Good,84,1,4.430816798843313,5.356586274672012
Lilas Taif,Taif  ,125,Studio Apartment,1,7.1,Good,433,1,6.07073772800249,4.8283137373023015
الحمدانية الراقي للشقق المفروشة,Jeddah  ,95,One-Bedroom Apartment,2,6.0,Very good,463,1,6.137727054086234,4.553876891600541
Burj Marweat Alkhalil,Makkah  ,75,Budget Double Room,2,6.9,Very good,657,1,6.48768401848461,4.31748811353631
New Suite 3,Riyadh  ,215,One-Bedroom Apartment,1,7.9,Good,54,1,3.9889840465642745,5.3706380281276624
TULAY PARK,Al Khobar,195,King Room,1,6.8,Very good,462,1,6.135564891081739,5.272999558563747
Almakan Suites 101,Riyadh  ,171,Studio,1,5.4,Very good,880,1,6.779921907472252,5.14166355650266
أبها إيليت للوحدات الفندقية,Abha  ,204,Deluxe King Studio,1,6.7,Very good,124,1,4.820281565605037,5.318119993844216
Mora Hotel,Jeddah,250,Double or Twin Room,2,7.9,Good,916,1,6.82001636467413,5.521460917862246
Karam Taibah Almasi,Madinah,127,Standard Triple Room,3,5.9,Very good,132,1,4.882801922586371,4.844187086458591
"شاليهات الرحاب 1, 2",Ash Shiqqah  ,550,Two-Bedroom Chalet,6,8.7,Fabulous,7,1,1.9459101490553132,6.309918278226516
Al Anoud & Aljawhara Apartments,Hafr Al Baten  ,250,Two-Bedroom Apartment,5,7.0,Good,80,1,4.382026634673881,5.521460917862246
Jewar Al Saqefah Hotel,Madinah,200,Double Room,2,7.6,Good,2428,1,7.794823152179389,5.298317366548036
Masar Najd,Unayzah  ,200,One-Bedroom Apartment,1,7.8,Good,427,1,6.056784013228625,5.298317366548036
دانة القادسية للوحدات السكنية المفروشة,Riyadh  ,170,Studio,1,7.8,Good,209,1,5.342334251964811,5.135798437050262
خليجية,Abha  ,75,Deluxe King Room,1,4.2,Very good,95,1,4.553876891600541,4.31748811353631
العييري للوحدات المفروشة النعيرية 2,Al Nairyah,90,Double Room with Private Bathroom,3,0.0,Very good,0,1,-inf,4.499809670330265
Shomookh Hotel,Madinah,111,Twin Room,2,7.5,Good,2100,1,7.649692623711514,4.709530201312334
Hoor Park - حور بارك,Jeddah ,279,King Room,1,7.7,Good,129,1,4.859812404361672,5.631211781821365
البرجس للأجنحة الفندقية,Al Jubail  ,230,Studio,2,6.4,Very good,193,1,5.262690188904886,5.438079308923196
جازلي للأجنحة الفندقية,Jeddah  ,157,One-Bedroom Apartment,1,7.4,Good,769,1,6.645090969505644,5.056245805348308
العييري للوحدات المفروشة النعيرية 2,Al Nairyah  ,90,Double Room with Private Bathroom,3,0.0,Very good,0,1,-inf,4.499809670330265
Hoor Park - حور بارك,Jeddah ,279,Standard Double Room,2,7.7,Good,129,1,4.859812404361672,5.631211781821365
Roof Hotel Apartments,Riyadh  ,400,Superior King Room,1,8.1,Good,356,1,5.87493073085203,5.991464547107982
"Makkah Clock Royal Tower, A Fairmont Hotel",Makkah  ,450,Fairmont King with City View,1,8.3,Good,19474,1,9.876835521538702,6.1092475827643655
Al Muhaidb Al Narges,Riyadh ,250,Studio,1,7.2,Good,946,1,6.852242569051878,5.521460917862246
التميز,An Nikāshah  ,162,One-Bedroom Apartment,1,0.0,Very good,0,1,-inf,5.087596335232384
Auris Al Fanar ApartHotel,Riyadh,245,One-Bedroom Apartment,1,7.6,Good,548,1,6.306275286948016,5.501258210544727
Al Eairy Apartments- Dammam 8,Dammam  ,350,One-Bedroom Apartment,1,5.9,Very good,222,1,5.402677381872279,5.857933154483459
Swiss International Resort Unaizah Al Qassim,Unayzah  ,998,One Bedroom Villa with Indoor Pool,1,8.5,Good,871,1,6.769641976852503,6.905753276311464
Oasis Najran Hotel,Najran  ,245,Budget Double Room,1,8.6,Fabulous,869,1,6.767343125265392,5.501258210544727
Fadet Talla Residentials,Buraydah  ,128,Studio Apartment,1,7.1,Good,462,1,6.135564891081739,4.852030263919617
Palms Lily Hotel Suites,Al Ahsa  ,140,Studio,1,6.2,Very good,1548,1,7.344719054149673,4.941642422609304
Al Hamra Palace By Warwick,Riyadh  ,370,Deluxe Room,1,7.2,Good,1233,1,7.117205503164344,5.91350300563827
Almakan Almosafer Hotel 106,Riyadh  ,153,One-Bedroom Apartment,1,5.7,Very good,1057,1,6.963189985870238,5.030437921392435
Tulip Jazan,Jazan  ,130,Double Room,1,6.4,Very good,465,1,6.142037405587356,4.867534450455582
جولدن روز Golden Rose,Jazan  ,324,Deluxe King Studio,2,8.5,Good,99,1,4.59511985013459,5.780743515792329
Manarat Al Misk Hotel,Makkah ,100,Basic Triple Room,3,6.9,Very good,517,1,6.248042874508429,4.605170185988092
Madeira Hotel Suites,Al Khobar  ,349,One-Bedroom Suite,1,8.1,Good,333,1,5.808142489980444,5.855071922202427
منازل جدة للوحدات السكنية,Jeddah  ,203,Two-Bedroom Apartment,4,7.4,Good,670,1,6.507277712385012,5.313205979041787
Afraa Hotel,Makkah  ,151,Triple Room,3,8.0,Good,2183,1,7.688455356549944,5.017279836814924
Holiday Villa Resort Yanbu,Yanbu  ,943,Deluxe Suite with Sea View,3,7.6,Good,457,1,6.124683390894205,6.849066282633458
Grand Plaza Hotel-KAFD Riyadh,Riyadh  ,418,Standard Double Room,1,8.1,Good,472,1,6.156978985585555,6.035481432524756
Qasr Al Hamra ApartHotel Al Hamra Branch,Jeddah  ,144,Deluxe Studio,1,7.1,Good,298,1,5.697093486505405,4.969813299576001
نزل خيال للوحدات السكنية,Abha  ,167,One-Bedroom Apartment,2,7.0,Good,174,1,5.159055299214529,5.117993812416755
"Makkah Clock Royal Tower, A Fairmont Hotel",Makkah,450,Fairmont King with City View,1,8.3,Good,19474,1,9.876835521538702,6.1092475827643655
Al Muhaidb Al Narges,Riyadh  ,250,Studio,1,7.2,Good,946,1,6.852242569051878,5.521460917862246
التميز,Riyadh,162,One-Bedroom Apartment,1,0.0,Very good,0,1,-inf,5.087596335232384
Palms Lily Hotel Suites,Al Ahsa ,140,Studio,1,6.2,Very good,1548,1,7.344719054149673,4.941642422609304
Manarat Al Misk Hotel,Makkah,100,Basic Triple Room,3,6.9,Very good,517,1,6.248042874508429,4.605170185988092
Holiday Villa Resort Yanbu,Yanbu ,943,Deluxe Suite with Sea View,3,7.6,Good,457,1,6.124683390894205,6.849066282633458
شقة مفروشة حي الشروق مدينة الملك عبدالله الاقتصادية,King Abdullah Economic City  ,320,Two-Bedroom Apartment,3,7.5,Good,4,1,1.3862943611198906,5.768320995793772
نزل خيال للوحدات السكنية,Abha S,167,One-Bedroom Apartment,2,7.0,Good,174,1,5.159055299214529,5.117993812416755
هتان السودة,Abha,249,Two-Bedroom Villa,3,8.2,Good,5,1,1.6094379124341003,5.517452896464707
Al Aqeeq Madinah Hotel,Madinah,285,"Classic Room King bed, City View",1,7.8,Good,6466,1,8.774312958285378,5.652489180268651
اطلالة الشرفة3 -Terrace view Residence,Dammam  ,186,One-Bedroom Apartment,1,8.0,Good,639,1,6.459904454377535,5.225746673713202
Karam Al Hejaz,Madinah,105,Deluxe Double Room,2,5.9,Very good,198,1,5.288267030694535,4.653960350157523
OYO 586 Al Tamayoz Al Raqi Hira,Jeddah,154,One-Bedroom Apartment,1,7.7,Good,35,1,3.5553480614894135,5.0369526024136295
Masat Darkom 2 Furnished Apartments,Buraydah ,200,Studio,1,7.5,Good,258,1,5.552959584921617,5.298317366548036
Loaloat Al Khobar,Al Khobar  ,189,Deluxe Studio,1,7.2,Good,468,1,6.148468295917647,5.241747015059643
Dar Hashim Hotel Apartments - Al Morouj,Riyadh  ,380,One-Bedroom Apartment,1,8.9,Fabulous,2320,1,7.749322464660356,5.940171252720432
العييري للوحدات السكنية المفروشة الباحة 2,Al Baha  ,90,One-Bedroom Apartment,2,3.6,Very good,294,1,5.683579767338681,4.499809670330265
Mira Waterfront Hotel Jeddah,Jeddah  ,285,Superior King Room with City View,1,6.4,Very good,5769,1,8.660254034256889,5.652489180268651
Taleen AlQuds 2 hotel apartments,Riyadh  ,160,One-Bedroom Apartment,1,5.8,Very good,119,1,4.77912349311153,5.075173815233827
Alfarhan Panda Alfayha,Riyadh  ,288,Budget Double Room,1,8.0,Good,943,1,6.849066282633458,5.662960480135946
