,name,location,price,price_for,room_type,beds,rating,rating_title,number_of_ratings,url,cm
4,Rawasi Hotel Suites 3 (For Families Only),Jeddah Show on map,SAR 250,"1 night, 2 adults",Two-Bedroom Apartment,"3 beds
(2 singles, 1 extra-large double)",7.6,Good,264 reviews,"/hotel/sa/rawasi-suites-3.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=7697733d5630cecb9c8b74fca3c9f381&all_sr_blocks=240955402_195314302_4_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=755&highlighted_blocks=240955402_195314302_4_0_0&hpos=5&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=240955402_195314302_4_0_0__25000&srepoch=1634469869&srpvid=cda05036c4d30003&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",
5,Samaya Royal Afif,‘Afīf Show on map,SAR 170,"1 night, 2 adults",Superior Apartment,"2 beds
(1 extra-large double, 1 sofa bed)",8.3,Very good,253 reviews,"/hotel/sa/smy-fyf.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=7697733d5630cecb9c8b74fca3c9f381&all_sr_blocks=283038701_337821544_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=756&highlighted_blocks=283038701_337821544_2_0_0&hpos=6&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=283038701_337821544_2_0_0__17000&srepoch=1634469869&srpvid=cda05036c4d30003&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",
6,RAK Hotel-Aparts,"South Obhr, Jeddah Show on map",SAR 218,"1 night, 2 adults",Premiere Double Room,1 extra-large double bed,7.4,Good,"1,361 reviews","/hotel/sa/rak-aparts.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=7697733d5630cecb9c8b74fca3c9f381&all_sr_blocks=374128408_202717554_2_1_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=757&highlighted_blocks=374128408_202717554_2_1_0&hpos=7&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=374128408_202717554_2_1_0__21789&srepoch=1634469869&srpvid=cda05036c4d30003&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",
7,Lavent Park Hotel Suites,Jeddah Show on map,SAR 210,"1 night, 2 adults",Standard King Room,1 large double bed,7.2,Good,548 reviews,"/hotel/sa/lfnt-brk-lstyn.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=7697733d5630cecb9c8b74fca3c9f381&all_sr_blocks=582080901_230685127_0_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=758&highlighted_blocks=582080901_230685127_0_0_0&hpos=8&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=582080901_230685127_0_0_0__21000&srepoch=1634469869&srpvid=cda05036c4d30003&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",
8,دار كنان للوحدات السكنية,Jeddah Show on map,SAR 93,"1 night, 2 adults",Budget Room,1 large double bed,6.2,Review score,"1,020 reviews","/hotel/sa/dr-knn-llwhdt-lskny.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=7697733d5630cecb9c8b74fca3c9f381&all_sr_blocks=286507702_183273991_0_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=759&highlighted_blocks=286507702_183273991_0_0_0&hpos=9&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=286507702_183273991_0_0_0__9250&srepoch=1634469869&srpvid=cda05036c4d30003&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",
9,Al Muhaidb Al Hada Resort,Al Hada Show on map,SAR 236,"1 night, 2 adults",Economy Double Room,1 single bed,7.8,Good,802 reviews,"/hotel/sa/al-muhaideb.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=7697733d5630cecb9c8b74fca3c9f381&all_sr_blocks=213539801_218863670_0_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=760&highlighted_blocks=213539801_218863670_0_0_0&hpos=10&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=213539801_218863670_0_0_0__23600&srepoch=1634469869&srpvid=cda05036c4d30003&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",
10,Spectrums Residence Managed by The Ascott Limited,"Al Salamah, Jeddah Show on map",SAR 405,"1 night, 2 adults",One-Bedroom Apartment,1 extra-large double bed,8.2,Very good,"1,524 reviews","/hotel/sa/spectrums-residence.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=7697733d5630cecb9c8b74fca3c9f381&all_sr_blocks=241841304_334332265_0_1_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=761&highlighted_blocks=241841304_334332265_0_1_0&hpos=11&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=241841304_334332265_0_1_0__40500&srepoch=1634469869&srpvid=cda05036c4d30003&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",
11,القصر للأجنحة الفندقية 9 البديع,Abha Show on map,SAR 565,"1 night, 2 adults",Junior Suite,"2 beds
(1 extra-large double, 1 sofa bed)",9.4,Superb,20 reviews,"/hotel/sa/lqsr-ll-jnh-lfndqy-9-lbdy.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=7697733d5630cecb9c8b74fca3c9f381&all_sr_blocks=755487301_335236263_0_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=762&highlighted_blocks=755487301_335236263_0_0_0&hpos=12&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=755487301_335236263_0_0_0__56500&srepoch=1634469869&srpvid=cda05036c4d30003&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",
12,شقة شاطئ النخيل,Umm Lajj Show on map,SAR 514,"1 night, 2 adults",Three-Bedroom Apartment,"7 beds
(6 singles, 1 extra-large double)",8.3,Very good,26 reviews,"/hotel/sa/shq-shty-lnkhyl.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=7697733d5630cecb9c8b74fca3c9f381&all_sr_blocks=715795301_325973962_8_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=763&highlighted_blocks=715795301_325973962_8_0_0&hpos=13&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=715795301_325973962_8_0_0__51400&srepoch=1634469869&srpvid=cda05036c4d30003&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",
13,Dana Hotel & Residences 2,Riyadh Show on map,SAR 270,"1 night, 2 adults",One-Bedroom Suite,"2 beds
(1 extra-large double, 1 sofa bed)",9.2,Superb,345 reviews,"/hotel/sa/fndq-dn-lskny-2.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=7697733d5630cecb9c8b74fca3c9f381&all_sr_blocks=716462401_305403949_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=764&highlighted_blocks=716462401_305403949_2_0_0&hpos=14&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=716462401_305403949_2_0_0__27000&srepoch=1634469869&srpvid=cda05036c4d30003&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",
