hotel_name,location,price,room_type,beds,rating,rating_title,number_of_ratings,Size_m2
فندق كراون نجران,Najran ,199,Family Room with Private Bathroom,1,6.5,Very good,56,35
Retaj Al Bayt Suites,Makkah ,315,Standard Twin Room,2,7.7,Good,3361,29
قولدن سكوير طريق الرياض Golden Square Riyadh Road,Khamis Mushayt  ,280,One-Bedroom Apartment,2,9.0,Superb,755,35
Al Ghufran Safwah Hotel Makkah,Makkah ,309,Superior Double Room,2,8.8,Fabulous,7301,30
Aloft Dhahran Hotel,Al Khobar,375,"Aloft Room, 1 King",1,8.2,Good,4935,37
Ewaa Express Hotel - Al Rawda,Jeddah,259,Standard King Room,1,8.4,Good,382,28
Zaha Al Munawara Hotel,Madinah,141,Standard King Room,1,8.1,Good,3474,40
Manazil Al Dhayf,Jeddah,200,Twin Room,2,8.2,Good,910,28
Province Al Sham Hotel,Madinah,150,Twin Room,2,7.3,Good,2651,28
FLAMINGO Boutique Hotel,Jeddah,252,Junior Suite,2,8.3,Good,449,35
Nadra Furnished Apartments,Taif  ,280,Two-Bedroom Apartment,3,6.8,Very good,268,100
الاماكن,Al Ula  ,700,Holiday Home,3,0.0,Very good,0,66
فندق انتور جازان Intour Hotel,Jazan  ,342,Deluxe King Room,1,7.6,Good,195,28
فندق دانة التاج DANA ALTAJ HOTEL,Makkah,157,Economy Twin Room,2,6.2,Very good,737,35
فندق الرياض ان - riyadh inn hotel,Riyadh  ,270,Economy Double Room,1,7.8,Good,303,29
استراحة روح ابحر,Obhor  ,720,Two-Bedroom Chalet,4,6.8,Very good,5,35
Rafa - Al Nuzhah,Riyadh  ,430,Superior Double Room,1,8.1,Good,1222,30
Pullman ZamZam Makkah,Makkah ,330,Superior Twin Room with Partial Haram View,2,7.2,Good,23493,37
Samaya Royal Afif,Afīf ,170,Superior Apartment,2,8.3,Good,253,28
RAK Hotel-Aparts,Jeddah ,218,Premiere Double Room,1,7.4,Good,1361,40
Al Muhaidb Al Hada Resort,Taif ,236,Economy Double Room,1,7.8,Good,802,45
القصر للأجنحة الفندقية 9 البديع,Abha,565,Junior Suite,2,9.4,Superb,20,28
Dana Hotel & Residences 2,Riyadh,270,One-Bedroom Suite,2,9.2,Superb,345,28
Hotel Ritaj Alsahel,Yanbu,200,Deluxe Room,1,7.9,Good,849,35
سكن وسط الطبيعة,Jeddah ,372,One-Bedroom House,2,9.7,Exceptional,6,29
Diamond Elite Hotel,Jazan,225,Twin Room,2,8.2,Good,1272,35
Ewaa Express Hotel - Gaber,Riyadh,375,Suite,1,8.9,Fabulous,562,30
ساير للشقق الفندقية,Khamis Mushayt,90,Twin Room with Shared Toilet,2,6.0,Very good,4,37
فندق صفوة اجياد,Makkah,100,Twin Room with Private Bathroom,2,6.9,Very good,34,28
Mirage Hotel Jeddah,Jeddah,239,Deluxe Twin Room,2,9.0,Superb,1759,40
فندق وسام التاج,Makkah ,131,Economy Triple Room,3,6.0,Very good,606,57
Rest Night Hotel Suites- AL Falah,Riyadh,230,Double Room,1,6.9,Very good,1716,28
OYO 273 Star Yanbu Hotel Suites,Yanbu,140,Standard Studio,1,6.6,Very good,208,35
Violet Al Azizia Hotel,Makkah,161,King Room,1,8.5,Good,7107,29
Aber Hotel - AlYasmin,Riyadh,465,Deluxe Twin Room,2,8.4,Good,1433,35
البحر للوحدات السكنية,Yanbu,170,Standard Double Room,1,6.8,Very good,197,30
Swiss Blue Al Samer,Jeddah,220,Studio,1,8.1,Good,589,37
Semat ApartHotel,Jeddah ,300,One-Bedroom Apartment,1,8.3,Good,458,28
EVA Hotel,Jeddah  ,360,Deluxe Queen Room,1,8.2,Good,402,40
Marina Arar Furnished Apartments,Arar  ,153,Deluxe Double or Twin Room,1,8.9,Fabulous,771,28
OYO 176 Hotel Safari Al Hada,Taif,108,Standard Studio,1,6.1,Very good,2280,45
Madina Palace Hotel,Jeddah,207,Standard Double Room,2,6.0,Very good,330,28
روضة الملبي للوحدات السكنية,Madinah,120,Double Room,2,6.5,Very good,6,28
"Radisson Blu Hotel, Buraidah",Buraydah  ,444,Standard Room,1,8.3,Good,1826,35
Al Kenana Hotel,Makkah ,69,Double Room with Private Bathroom,2,7.2,Good,167,29
شاليه جُمان سبرينجز للعائلات,King Abdullah Economic City,590,One-Bedroom Chalet,5,9.5,Exceptional,6,35
فندق جمانه,Yanbu  ,270,Standard Twin Room,2,8.0,Good,1204,30
Al Hayaah Bayta,Tabuk  ,201,Studio Apartment,2,6.5,Very good,475,37
Ibis Yanbu,Yanbu  ,330,Double Room,1,7.9,Good,1134,28
شقه كبيره,Obhor ,480,Two-Bedroom Apartment,3,0.0,Very good,0,66
Batoul Ajyad Hotel,Makkah,111,Quadruple Room,4,7.5,Good,2362,28
نظرة للشقق الفندقية,Raʼs Munaysif,449,One-Bedroom Apartment,2,8.0,Good,11,28
Rwnza Hotel Apartments,Tabuk  ,200,One-Bedroom Apartment,5,5.4,Very good,63,100
Seher Aloyon Funished Apartments,Buraydah  ,250,Two-Bedroom Apartment,6,8.1,Good,599,150
Dari Hotel Families Only,Jeddah  ,266,Studio,1,8.9,Fabulous,238,35
Durra Taraf 1 Residential,Dammam  ,350,One-Bedroom Apartment,1,7.2,Good,1368,30
استراحات و شاليهات البرج,Al Baha,896,Two-Bedroom Apartment,9,7.4,Good,5,37
هيفن بلازا,Riyadh ,230,Standard Room,1,6.4,Very good,3446,28
Iwan Alandalusia Al Ajaweed,Jeddah,230,Standard Double Room,1,7.8,Good,444,40
Taj Al Worood Hotel,Jeddah ,240,King Room,1,8.4,Good,2228,28
Taj Al Arous Furnished Units,Jeddah,90,غرفة نوم اقتصادية للعزاب مع حمام خارجي,2,6.5,Very good,73,28
شالية الياقوت الأبيض,Makkah,280,Two-Bedroom Chalet,2,0.0,Very good,0,38
Reef residence,Qaryah al Ulya,238,Two-Bedroom Apartment,6,0.0,Very good,0,60
Al Tamayoz Furnished Units,Madinah,72,Double or Twin Room,1,5.4,Very good,360,35
Arjaan Altakhassusi Hotel Suites,Riyadh  ,379,Superior Twin Apartment,2,8.6,Fabulous,1630,30
"Radisson Blu Hotel, Dhahran",Al Khobar,284,Standard Room,1,7.5,Good,1779,28
ساير للشقق الفندقية,Khamis Mushayt  ,90,Twin Room with Shared Toilet,2,6.0,Very good,4,28
فندق صفوة اجياد,Makkah  ,100,Twin Room with Private Bathroom,2,6.9,Very good,34,35
Mirage Hotel Jeddah,Jeddah ,239,Deluxe Twin Room,2,9.0,Superb,1759,29
OYO 273 Star Yanbu Hotel Suites,Yanbu ,140,Standard Studio,1,6.6,Very good,208,35
Aber Hotel - AlYasmin,Riyadh  ,465,Deluxe Twin Room,2,8.4,Good,1433,30
البحر للوحدات السكنية,Yanbu  ,170,Standard Double Room,1,6.8,Very good,197,37
Swiss Blue Al Samer,Jeddah  ,220,Studio,1,8.1,Good,589,28
Madina Palace Hotel,Jeddah  ,207,Standard Double Room,2,6.0,Very good,330,40
SAS Hotel,Al Jubail  ,299,Economic Room,1,7.2,Good,1134,28
Mera Houses Aparthotel,Baljurashi  ,200,Double Room,1,8.0,Good,1782,28
Al Qimah Apartments,Dammam  ,75,Standard Double Room with Shared Bathroom,2,5.0,Very good,362,35
Dorar Rabigh Hotel Apartments,Rabigh  ,143,One-Bedroom Apartment,1,6.1,Very good,172,29
Dar Al Maamon Furnished Apartment,Jeddah ,275,Apartment,3,8.1,Good,365,35
الزمردة للوحدات السكنية,Ash Shuqayq  ,296,Two-Bedroom Apartment,3,8.3,Good,65,30
Amyal Alras,Al Rass  ,212,One-Bedroom Apartment,1,8.4,Good,84,37
Lilas Taif,Taif  ,125,Studio Apartment,1,7.1,Good,433,28
الحمدانية الراقي للشقق المفروشة,Jeddah  ,95,One-Bedroom Apartment,2,6.0,Very good,463,40
Burj Marweat Alkhalil,Makkah  ,75,Budget Double Room,2,6.9,Very good,657,28
New Suite 3,Riyadh  ,215,One-Bedroom Apartment,1,7.9,Good,54,28
TULAY PARK,Al Khobar,195,King Room,1,6.8,Very good,462,35
Almakan Suites 101,Riyadh  ,171,Studio,1,5.4,Very good,880,29
أبها إيليت للوحدات الفندقية,Abha  ,204,Deluxe King Studio,1,6.7,Very good,124,35
Mora Hotel,Jeddah,250,Double or Twin Room,2,7.9,Good,916,30
Karam Taibah Almasi,Madinah,127,Standard Triple Room,3,5.9,Very good,132,37
"شاليهات الرحاب 1, 2",Ash Shiqqah  ,550,Two-Bedroom Chalet,6,8.7,Fabulous,7,60
Al Anoud & Aljawhara Apartments,Hafr Al Baten  ,250,Two-Bedroom Apartment,5,7.0,Good,80,40
Jewar Al Saqefah Hotel,Madinah,200,Double Room,2,7.6,Good,2428,28
Masar Najd,Unayzah  ,200,One-Bedroom Apartment,1,7.8,Good,427,28
دانة القادسية للوحدات السكنية المفروشة,Riyadh  ,170,Studio,1,7.8,Good,209,35
خليجية,Abha  ,75,Deluxe King Room,1,4.2,Very good,95,29
العييري للوحدات المفروشة النعيرية 2,Al Nairyah,90,Double Room with Private Bathroom,3,0.0,Very good,0,35
Shomookh Hotel,Madinah,111,Twin Room,2,7.5,Good,2100,30
Hoor Park - حور بارك,Jeddah ,279,King Room,1,7.7,Good,129,37
البرجس للأجنحة الفندقية,Al Jubail  ,230,Studio,2,6.4,Very good,193,28
جازلي للأجنحة الفندقية,Jeddah  ,157,One-Bedroom Apartment,1,7.4,Good,769,40
العييري للوحدات المفروشة النعيرية 2,Al Nairyah  ,90,Double Room with Private Bathroom,3,0.0,Very good,0,28
Hoor Park - حور بارك,Jeddah ,279,Standard Double Room,2,7.7,Good,129,28
Roof Hotel Apartments,Riyadh  ,400,Superior King Room,1,8.1,Good,356,35
"Makkah Clock Royal Tower, A Fairmont Hotel",Makkah  ,450,Fairmont King with City View,1,8.3,Good,19474,29
Al Muhaidb Al Narges,Riyadh ,250,Studio,1,7.2,Good,946,35
التميز,An Nikāshah  ,162,One-Bedroom Apartment,1,0.0,Very good,0,30
Auris Al Fanar ApartHotel,Riyadh,245,One-Bedroom Apartment,1,7.6,Good,548,37
Al Eairy Apartments- Dammam 8,Dammam  ,350,One-Bedroom Apartment,1,5.9,Very good,222,28
Swiss International Resort Unaizah Al Qassim,Unayzah  ,998,One Bedroom Villa with Indoor Pool,1,8.5,Good,871,40
Oasis Najran Hotel,Najran  ,245,Budget Double Room,1,8.6,Fabulous,869,28
Fadet Talla Residentials,Buraydah  ,128,Studio Apartment,1,7.1,Good,462,28
Palms Lily Hotel Suites,Al Ahsa  ,140,Studio,1,6.2,Very good,1548,35
Al Hamra Palace By Warwick,Riyadh  ,370,Deluxe Room,1,7.2,Good,1233,29
Almakan Almosafer Hotel 106,Riyadh  ,153,One-Bedroom Apartment,1,5.7,Very good,1057,35
Tulip Jazan,Jazan  ,130,Double Room,1,6.4,Very good,465,30
جولدن روز Golden Rose,Jazan  ,324,Deluxe King Studio,2,8.5,Good,99,37
Manarat Al Misk Hotel,Makkah ,100,Basic Triple Room,3,6.9,Very good,517,28
Madeira Hotel Suites,Al Khobar  ,349,One-Bedroom Suite,1,8.1,Good,333,40
منازل جدة للوحدات السكنية,Jeddah  ,203,Two-Bedroom Apartment,4,7.4,Good,670,54
Afraa Hotel,Makkah  ,151,Triple Room,3,8.0,Good,2183,28
Holiday Villa Resort Yanbu,Yanbu  ,943,Deluxe Suite with Sea View,3,7.6,Good,457,35
Grand Plaza Hotel-KAFD Riyadh,Riyadh  ,418,Standard Double Room,1,8.1,Good,472,29
Qasr Al Hamra ApartHotel Al Hamra Branch,Jeddah  ,144,Deluxe Studio,1,7.1,Good,298,35
نزل خيال للوحدات السكنية,Abha  ,167,One-Bedroom Apartment,2,7.0,Good,174,30
"Makkah Clock Royal Tower, A Fairmont Hotel",Makkah,450,Fairmont King with City View,1,8.3,Good,19474,37
Al Muhaidb Al Narges,Riyadh  ,250,Studio,1,7.2,Good,946,28
التميز,Riyadh,162,One-Bedroom Apartment,1,0.0,Very good,0,40
Palms Lily Hotel Suites,Al Ahsa ,140,Studio,1,6.2,Very good,1548,28
Manarat Al Misk Hotel,Makkah,100,Basic Triple Room,3,6.9,Very good,517,28
Holiday Villa Resort Yanbu,Yanbu ,943,Deluxe Suite with Sea View,3,7.6,Good,457,35
شقة مفروشة حي الشروق مدينة الملك عبدالله الاقتصادية,King Abdullah Economic City  ,320,Two-Bedroom Apartment,3,7.5,Good,4,29
نزل خيال للوحدات السكنية,Abha S,167,One-Bedroom Apartment,2,7.0,Good,174,35
هتان السودة,Abha,249,Two-Bedroom Villa,3,8.2,Good,5,30
Al Aqeeq Madinah Hotel,Madinah,285,"Classic Room King bed, City View",1,7.8,Good,6466,37
اطلالة الشرفة3 -Terrace view Residence,Dammam  ,186,One-Bedroom Apartment,1,8.0,Good,639,28
Karam Al Hejaz,Madinah,105,Deluxe Double Room,2,5.9,Very good,198,40
OYO 586 Al Tamayoz Al Raqi Hira,Jeddah,154,One-Bedroom Apartment,1,7.7,Good,35,28
Masat Darkom 2 Furnished Apartments,Buraydah ,200,Studio,1,7.5,Good,258,28
Loaloat Al Khobar,Al Khobar  ,189,Deluxe Studio,1,7.2,Good,468,35
Dar Hashim Hotel Apartments - Al Morouj,Riyadh  ,380,One-Bedroom Apartment,1,8.9,Fabulous,2320,29
العييري للوحدات السكنية المفروشة الباحة 2,Al Baha  ,90,One-Bedroom Apartment,2,3.6,Very good,294,35
Mira Waterfront Hotel Jeddah,Jeddah  ,285,Superior King Room with City View,1,6.4,Very good,5769,30
Taleen AlQuds 2 hotel apartments,Riyadh  ,160,One-Bedroom Apartment,1,5.8,Very good,119,37
Alfarhan Panda Alfayha,Riyadh  ,288,Budget Double Room,1,8.0,Good,943,28
Dana Hotel & Residences,Riyadh  ,350,Deluxe Double Room,1,8.8,Fabulous,716,40
Emerald Hotel,Jeddah  ,325,Deluxe King Room,1,8.5,Good,1047,28
فندق ديار السلام,Madinah,117,Double Room,2,7.2,Good,583,28
فندق رحيق المدينه,Al Madinah  ,90,Budget Double Room,2,5.1,Very good,87,35
Signature Al Khobar Hotel,Al Khobar  ,332,Standard  Room,1,7.1,Good,1499,29
"KAEC, Bay La Sun, Marina 2, Studio with Garden Patio",King Abdullah Economic City  ,570,Family Studio,2,8.8,Fabulous,77,35
Park Jizan Hotel,Jazan  ,300,Deluxe Room (2 Adults + 1 Child),1,7.8,Good,810,30
Afaq Jeddah 3,Jeddah  ,160,Budget Double Room,1,7.2,Good,9,37
فندق أعيان الششة,Makkah  ,61,Double Room with Private Bathroom,2,6.4,Very good,46,28
Khaleej ALez Furnished Units,Dammam  ,122,Studio Apartment,3,6.8,Very good,588,40
الحماد للشقق الفندقية,Jeddah  ,150,King Room,1,7.2,Good,66,28
Silent Room 1 By Quiet Rooms,Riyadh  ,183,One-Bedroom Apartment,1,6.8,Very good,446,28
شاليه فيلا درة العروس,Jeddah ,2000,Two-Bedroom Chalet,9,8.5,Good,77,90
Chalet Y&M,Ar Rafī‘ah  ,720,One-Bedroom Chalet,4,0.0,Very good,0,58
Al Muhaidb Tahliya (Olaya),Raʼs Munaysif,240,Studio,1,6.3,Very good,598,35
ستديو القهوة النجدية المزاحمية طريق مكة,Makkah ,144,One-Bedroom Apartment,1,0.0,Very good,0,30
Danat Layalina Apparthotel,Al Namas  ,200,One-Bedroom Apartment,3,7.6,Good,499,37
OYO 351 Darr Mesk,Hail  ,122,Standard Studio Double,1,5.8,Very good,123,28
Al Fairouz Resort,Taif ,215,Suite with Balcony,1,7.7,Good,197,40
Grand Star Al Saha Hotel,Jeddah  ,203,Standard Twin Room,1,7.3,Good,249,28
Silent Room 3 By Quiet Rooms,Riyadh  ,216,Deluxe Suite,2,7.2,Good,307,28
Mar Al Diyafah,Burayman,210,Economy Double or Twin Room,1,8.4,Good,39,35
OYO 315 Ramz Abha Hotel,Abha  ,126,Standard Studio,1,8.0,Good,1390,29
OYO 277 Al Tamayoz Al Raqi Furnished Units 3,Jeddah  ,88,Deluxe Studio,2,6.1,Very good,328,35
Al Naseem Apartments 9,Riyadh  ,44,Twin Room,2,4.8,Very good,26,30
Jood At Taif residential units,Taif  ,120,Studio Apartment,2,7.0,Good,166,37
Rest Night Hotel Apartments Wadi Al Dawasir,Wadi Al Dawasir  ,252,Double Room,2,8.1,Good,1233,28
Royal Nights Chalet,Ad Darb  ,500,Two-Bedroom Chalet,3,5.2,Very good,4,40
Comfort Inn AL TAAWON FAMILY ONLY,Riyadh  ,171,Studio,1,5.5,Very good,470,28
فندق زهرة السعد 6,Makkah  ,100,Deluxe Double Room,1,7.6,Good,107,28
درة العروس - للعائلات فقط,Jeddah ,650,Three-Bedroom Chalet,6,7.4,Good,55,77
Seasons Park Hotel,Jeddah,330,Queen Room with Two Queen Beds,2,8.6,Fabulous,1029,29
OYO 167 Dar Al Raies Hotel,Makkah  ,91,Standard Studio,1,7.1,Good,852,35
فندق حياة المدينة,Madinah,108,Deluxe King Room,1,7.0,Good,35,30
Al Eairy Apartments- Riyadh 3,Riyadh  ,105,Double or Twin Room,1,5.4,Very good,604,37
By Quiet Rooms ركن العمر للوحدات السكنية,Riyadh  ,191,Studio,1,6.4,Very good,205,28
Samaa Eva Resort,Abha  ,250,Junior Suite,1,8.3,Good,583,40
Nawazi Al Tawsea,Makkah  ,75,Double Room,2,5.4,Very good,432,28
Quetzal Aparthotel,Riyadh ,383,Standard Double Room,2,7.9,Good,1773,28
The origins of Capricorn Arbism 15,Dammam  ,85,One-Bedroom Apartment,2,4.5,Very good,20,35
نوفا السويدى,Riyadh  ,280,Two-Bedroom Apartment,5,5.3,Very good,23,70
Dar Al Janoub Hotel Apartments,Jeddah ,450,Economy Double or Twin Room,1,8.6,Fabulous,940,35
غروب الشمس للشقق المفروشه,Jazan  ,150,One-Bedroom Apartment,2,6.4,Very good,13,30
فندق أعيان المعابدة,Makkah  ,59,Double Room with Private Bathroom,2,8.1,Good,35,37
TIME Dammam Residence,Dammam  ,238,One-Bedroom Apartment,1,7.9,Good,968,28
the blue Diamond 17,Dammam  ,69,Economy Triple Room,3,4.6,Very good,17,40
Armada Hotel Jazan,Jazan ,234,Deluxe Room,1,8.5,Good,1250,28
فندق جواد التاج Jawad Al-Taj Hotel,Makkah,157,Economy Double Room,2,6.0,Very good,600,28
AlMuhaidb Residence Alkhafji,Al Khafji  ,239,Superior Double Room,1,8.4,Good,1252,35
Al Eairy Apartments - Al Madinah 14,Madinah,65,Double or Twin Room,1,5.9,Very good,1541,29
AlBaha Palace Furnished Apartment,Al Baha  ,221,Double Room,1,7.6,Good,400,35
Holiday Plus Hotel Suites,Jeddah  ,404,Two-Bedroom Apartment,3,8.1,Good,249,30
Waqf Al Sherbiny 3,Madinah,100,Standard Studio,1,8.1,Good,296,37
Radisson Blu Resort Jizan,Jazan  ,534,Standard Room,1,7.6,Good,3436,28
أزد للشقق الفندقية,Tanomah  ,350,Superior Double or Twin Room with Mountain View,1,9.2,Superb,41,40
Crown Tower Hotel,Al Jubail  ,257,Standard Double Room,2,8.2,Good,1209,28
المنتدي,Abha ,75,Deluxe Double Room,1,4.5,Very good,154,28
فندق الفيصل,Al Ula  ,250,One-Bedroom Apartment,2,5.9,Very good,12,35
Al Denny Aparthotel,Jeddah  ,120,Double Room,1,7.0,Good,749,29
ضيوف جدة للشقق الفندقية,Jeddah  ,153,Studio,1,7.7,Good,305,35
ALolayan Plaza Hotel فندق العليان بلازا,Makkah  ,125,Standard  Room,2,7.8,Good,571,30
فندق الميار Almayar hotel,Madinah,210,Deluxe Queen Room,1,8.6,Fabulous,30,37
Methaq Hotel Suites 2,Riyadh ,270,One-Bedroom Suite,1,4.0,Very good,7,28
Shataa Alula Apartment,Al Ula  ,350,One-Bedroom Apartment,1,8.3,Good,3,40
"Luxury Modern Apartment, Alwaha- للعوائل فقط",King Abdullah Economic City ,891,Two-Bedroom Apartment,2,9.6,Exceptional,20,70
Najmat Manami Azizyya,Riyadh ,170,One-Bedroom Apartment,1,7.1,Good,111,28
Fakher Yanbu 3 Furnished Units,Yanbu  ,400,Suite with Sea View,1,7.9,Good,398,35
Zowar International Hotel,Madinah,159,Standard Twin Room,1,7.0,Good,1668,29
Al Farhan Hotel Suites,Al Jubail  ,141,Deluxe Double Room (1 adult + 1 child),1,6.8,Very good,419,35
Hayah Al Waha Hotel,Madinah,93,Triple Room,3,5.9,Very good,2579,30
Gacine Hotel,Madinah,235,Large Twin Room,2,8.9,Fabulous,637,37
Ramz Al Fakhamah,Taif  ,178,Deluxe King Studio,1,8.6,Fabulous,837,28
Open ApartHotel,Dammam  ,171,One-Bedroom Apartment,2,5.5,Very good,729,40
Elite Jeddah Hotel,Jeddah,295,Budget Double Room,2,7.8,Good,1395,28
Shahad Hotel,Riyadh  ,162,One-Bedroom Apartment,1,7.2,Good,15,28
Arif Housing Units,Buraydah  ,270,Standard King Room,1,8.7,Fabulous,627,35
Burj Alhayah Hotel Suites Alfalah,Riyadh  ,220,Studio,1,7.5,Good,731,29
Burj Al Faris Hotel Apartments,Jeddah  ,196,Studio,1,8.1,Good,923,35
Al Marwa Rayhaan by Rotana - Makkah,Makkah  ,314,Classic King Room Haram view,1,7.7,Good,8052,30
فندق سكناي رويالSuknai Royal Hotel,Hail  ,397,Standard King Room,1,8.9,Fabulous,81,37
Kayan Al Taif Hotel,Taif  ,254,Superior King Room,1,8.5,Good,1221,28
Four Seasons Stars Aparthotel,Al Jubail  ,140,King Studio,1,8.2,Good,74,40
المهيدب للوحدات السكنيه - حي البوادي,Jeddah,204,King Studio,1,8.5,Good,103,28
فندق لافيرا ان Lavera Inn Hotel,Riyadh ,366,Deluxe Double Room,1,8.2,Good,139,28
New Suite,Riyadh ,194,Deluxe Room (1 adult + 2 children),1,7.4,Good,127,35
Lina Park 5,Al Khobar  ,135,One-Bedroom Apartment,1,6.7,Very good,441,29
Rosa Aparthotel,Buraydah  ,200,Double or Twin Room,1,6.1,Very good,124,35
Golden Bujari Hotel Al Khamis,Khamis Mushayt  ,523,Junior Suite,1,8.0,Good,523,30
"Crowne Plaza Jeddah, an IHG Hotel",Jeddah ,435,Standard Double Room,1,8.3,Good,1560,37
"Crowne Plaza Riyadh - RDC Hotel & Convention, an IHG Hotel",Riyadh  ,795,Deluxe Room with Two Beds - Non-Smoking,2,8.8,Fabulous,2137,28
"InterContinental Jeddah, an IHG Hotel",Jeddah ,702,Deluxe Room,1,7.9,Good,2785,40
"Crowne Plaza Riyadh Al Waha, an IHG Hotel",Riyadh  ,420,Superior Room,1,7.5,Good,1717,28
Gloria Inn Riyadh,Riyadh  ,300,Standard Room,1,8.0,Good,3964,28
جلنار المدينة,Madinah,210,One-Bedroom Apartment,1,7.7,Good,98,35
Al Farhan Dumah Al Jandal,Dawmat al Jandal  ,152,Budget Single Room,1,8.2,Good,104,29
استراحة الشبعان,Shaban  ,150,One-Bedroom Apartment,2,0.0,Very good,0,35
Areen Jeddah Suites Al Madina Road,Jeddah ,212,Junior Suite,1,7.3,Good,144,30
Radiha Hotel Suites,Taif ,180,Deluxe King Room,1,7.3,Good,273,37
إليت الحمراء - فرع الكورنيش,Ar Ruʼays  ,420,Suite with Sea View,2,8.1,Good,158,28
Sendan Residence,Dammam  ,360,One Bedroom Apartment,2,8.3,Good,2033,40
Top Stars Hotel,Al Hanakiyah  ,150,Deluxe Double Room with Bath,1,8.8,Fabulous,54,28
أورينتال رزيدنس الدمام,Dammam  ,450,Deluxe Double Room,1,8.5,Good,216,28
روز للوحدات السكنيه,Al Thybiyah  ,185,Double or Twin Room with Bathroom,2,8.0,Good,44,35
كيان للأجنحة الفندقية,Ahad Rafidah  ,325,Deluxe King Room,1,9.3,Superb,130,29
Le Park Concord Hotel - Turaif,Ţurayf  ,250,Deluxe Suite,1,9.0,Superb,280,35
فندق كيان,Ahad Rafidah  ,225,Deluxe Double Room,1,8.3,Good,70,30
Mabiti Alula فندق مبيتي العلا,Al Ula  ,585,Superior Queen Room,1,8.3,Good,58,37
Alfaw Plaza Hotel,Sharurah ,220,Standard Single Room,1,8.8,Fabulous,67,28
Crystal Blue Rabigh 2,Rabigh  ,300,Deluxe Double Room (2 Adults + 1 Child),1,8.4,Good,243,40
ذوق الخيال بإدارة وتشغيل الضيافة بالاس,Jeddah,388,Superior One-Bedroom Apartment,1,8.9,Fabulous,238,28
Jeddah Seasons Furnished Apartments,Riyadh ,200,Family Suite,1,7.3,Good,98,28
فندق لؤلؤة المختارون,Riyadh ,60,Twin Room,2,6.0,Very good,18,35
Novotel Riyadh Al Anoud,Riyadh  ,360,Superior Queen Room,1,7.2,Good,2943,29
Centro Waha by Rotana,Riyadh ,450,Standard Twin Room,2,7.5,Good,6614,35
Novotel Yanbu Albahr,Yanbu  ,480,Superior Double Room,1,8.0,Good,2591,30
Mövenpick Hotel City Star Jeddah,Jeddah ,440,Superior King Room,1,8.5,Good,1614,37
"Holiday Inn Meydan, an IHG Hotel",Riyadh,285,Standard Room,1,7.6,Good,2406,28
"Holiday Inn Riyadh Al Qasr, an IHG Hotel",Riyadh,375,Standard Room,2,7.2,Good,4162,40
Dar Al Asalah Hotel-Apartments,Hotat bani tamim  ,200,One-Bedroom Apartment,1,7.8,Good,55,28
Four Points by Sheraton Makkah Al Naseem,Makkah  ,149,King Room,1,8.5,Good,13389,28
أجنحة سالين - للوحدات السكنية المفروشة,As Suwayfilah,99,Double Room with Private Bathroom,1,5.9,Very good,53,35
رمال الجزيره,Taif  ,170,One-Bedroom Apartment,1,6.3,Very good,153,29
M Hotel Makkah by Millennium,Makkah  ,120,Standard Twin Room,2,7.8,Good,5301,35
Carawan Hotel Jeddah - Al Naeem Near Al Danube Market in Madina Road,Jeddah ,270,Standard Twin Room,2,8.0,Good,1124,30
نظرة للشقق الفندقية,Al Khobar,436,One-Bedroom Apartment,2,7.9,Good,10,37
Riyadh Marriott Hotel,Riyadh  ,425,"Guest Room, 1 King",1,7.6,Good,895,28
Novotel Suites Riyadh Olaya,Riyadh ,400,Junior King Suite,1,7.2,Good,1558,40
"Holiday Inn Riyadh Izdihar, an IHG Hotel",Riyadh ,325,Standard Double Room - Non-Smoking,1,7.8,Good,1487,28
Hyatt House Jeddah Sari Street,Jeddah,425,Twin Studio,2,8.4,Good,2287,28
Sheraton Riyadh Hotel & Towers,Riyadh ,495,"Classic Room, Guest room, 1 Queen",1,8.0,Good,849,35
Executives Hotel - Olaya,Riyadh,473,Standard King Room,1,7.9,Good,5475,29
Etlalet Al-Sharm Apartments,Yanbu  ,450,Two-Bedroom Apartment,2,7.8,Good,209,55
Lafontaine Jeddah Hotel,Jeddah  ,189,Deluxe Twin Room,2,6.8,Very good,1210,30
Jabal Omar Hyatt Regency Makkah,Makkah ,600,Twin Room,2,8.4,Good,20622,37
Lara Al Jawf Hotel Apartments,Arar  ,158,Standard Apartment,2,7.9,Good,283,28
Golden Tulip Buraidah Al Qassim,Buraydah  ,405,Standard Twin Room,2,7.5,Good,1182,40
Ibis Jeddah Malik Road,Jeddah,289,Standard Twin Room,2,7.9,Good,2579,28
Centro Salama Jeddah by Rotana,Jeddah ,346,Queen Room,1,7.9,Good,3441,28
"Crowne Plaza Madinah, an IHG Hotel",Madinah,345,Standard Room,1,8.1,Good,3669,35
JEDDAH PALACE,Jeddah  ,150,Deluxe King Room,1,6.9,Very good,390,29
Tulip Inn Al Dar Rawafed,Madinah,280,King Room with City View,1,7.9,Good,2227,35
"Holiday Inn Jeddah Al Salam, an IHG Hotel",Jeddah  ,301,Leisure King Room with Pool View - Smoking,1,7.4,Good,1913,30
Seven Garden's Hotel,Taif  ,365,King Studio,1,9.4,Superb,1135,37
Glamour Inn جلامور ان,Jeddah,200,Budget Double Room,1,7.0,Good,223,28
Hayatt International1,Madinah,180,Economy Double Room,2,6.6,Very good,808,40
