hotel_name,location,price,room_type,beds,rating,rating_title,number_of_ratings,Size_m2
العييري للوحات المفروشة جدة 5,Jeddah,86,Double Room with Private Bathroom,3,5.9,Very good,16,48
بست ون للوحدات السكنيه المفروشه,Al Duwadimi,270,One-Bedroom Apartment,1,8.6,Fabulous,22,30
شاليهات ارنيكا,Taif,300,Two-Bedroom Chalet,4,8.2,Good,71,100
Touq Balad,Jeddah,175,Budget Double Room,1,8.4,Good,504,33
توجاردن الحرمين,Jeddah,200,Executive Suite,2,9.0,Superb,85,45
Address Sharurah Hotel,Sharurah,200,Standard Double Room,2,8.1,Good,97,45
The first diamond الماسيه الاولي,Jeddah,225,Economy Double Room,1,8.3,Good,52,32
Al Madinah Concorde Hotel,Madinah,137,Deluxe King Room,1,6.8,Very good,703,28
Marina House,Riyadh,86,Budget Double Room,2,5.0,Very good,216,38
THORA ALAMJAD FURNISHED APARTMENTS (ذرى الامجاد للوحدات السكنية المفروشة (الراحة بلازا سابقا,Sharurah,119,Family Studio,1,7.2,Good,235,40
Durat Al Ruwmansiya 3,Tabuk,140,Deluxe Apartment,2,6.3,Very good,863,44
Shahad Al Taif,Taif,144,Studio Apartment,1,7.4,Good,2439,35
Business Inn Tahlia Hotel,Riyadh,237,Business King Room,1,6.6,Very good,1023,38
Manazeli AlKhozama منازلي الخزامى,Madinah,150,Economy Double Room,1,7.4,Good,5,32
reef101,Riyadh,150,Studio,1,6.1,Very good,200,40
فندق ارتال طيبة Artal Taiba Hotel,Madinah,83,Budget Triple Room,3,6.6,Very good,1117,30
""" لاڤيلا ""منتجع وشاليهات لا فيلا العرسان",Riyadh,250,Deluxe Double Room with Balcony,1,7.3,Good,86,34
شاطئ الحياة للأجنحة الفندقية,Jeddah,187,Studio,1,8.1,Good,380,35
Mirage Al Salam Hotel,Madinah,125,Basic Triple Room,3,7.2,Good,2530,40
ريحانة الورد,Abha ,88,Budget Double Room,1,6.9,Very good,28,28
Rihan Tibah Furnished Units,Madinah,99,Triple Room with Private Bathroom,3,5.4,Very good,36,50
لوريت للشقق والاجنحة الفندقية,Jeddah,225,Junior Suite,1,0.0,Very good,0,26
مزرعة بإطلالة على الجبل,Madain,1603,Family Room,8,8.5,Good,15,150
Al Rose Al Motamaiza Furnished Apartment,Jeddah,185,One-Bedroom Apartment,1,7.3,Good,485,28
ملفا للأجنحة الفندقية- فرع حي الموسى,Bishah,180,One-Bedroom Apartment,1,8.0,Good,144,28
Al Muhaidb Residence Al Khobar,Riyadh,255,Double Room,1,6.8,Very good,1202,28
